assessment_items_images,assessment_items_resources,goal_text,grades,objectives_objective_0_level,objectives_objective_0_text,objectives_objective_1_level,objectives_objective_1_text,objectives_objective_2_level,objectives_objective_2_text,objectives_objective_3_level,objectives_objective_3_text,objectives_objective_4_level,objectives_objective_4_text,objectives_objective_5_level,objectives_objective_5_text,standard_codes,subject,subject_domains,title,udl_adaptations_udl_adaptations_0_text,udl_adaptations_udl_adaptations_0_udl_standard_long_ref,udl_adaptations_udl_adaptations_1_text,udl_adaptations_udl_adaptations_1_udl_standard_long_ref,udl_adaptations_udl_adaptations_2_text,udl_adaptations_udl_adaptations_2_udl_standard_long_ref,udl_adaptations_udl_adaptations_3_text,udl_adaptations_udl_adaptations_3_udl_standard_long_ref,udl_adaptations_udl_adaptations_4_text,udl_adaptations_udl_adaptations_4_udl_standard_long_ref,udl_adaptations_udl_adaptations_5_text,udl_adaptations_udl_adaptations_5_udl_standard_long_ref
,,"By (date), when given a pair of unlike fractions (e.g. 1/2, 2/3), (name) will draw a comparison symbol between the fractions (e.g., >, =, <), then create a visual model to prove the comparison (e.g. pie graphs, number lines, arranged fraction strips), for (5 out of 5) fraction-comparison problems.",['4'],Mild,"By (date), when given a pair of unlike fractions (e.g. 1/2, 2/3), (name) will use [[ Open Notes | open notes ]] to draw a comparison symbol between the fractions (e.g., >, =, <), then create a visual model to prove the comparison (e.g. pie graphs, number lines, arranged fraction strips), for (5 out of 5) fraction-comparison problems.",Moderate,"By (date), when given a pair of unlike fractions (e.g. 1/2, 2/3), (name) will work with a [[ Peer Tutoring | peer tutor ]] and use [[ Open Notes | open notes ]] to draw a comparison symbol between the fractions (e.g., >, =, <), then create a visual model to prove the comparison (e.g. pie graphs, number lines, arranged fraction strips), for (4 out of 5) fraction-comparison problems.",Intense,"By (date), when given a written statement that compares unlike fractions (e.g. 1/2 < 2/3), (name) will work with a [[ Peer Tutoring | peer tutor ]] and use [[ Open Notes | open notes ]] to [[multiple choice|choose]] which of (4) visual models (e.g. pie graphs, number lines, arranged fraction strips) proves the comparison, for (3 out of 5) fraction-comparison problems.",,,,,,,['CCSS.Math.Content.4.NF.A.2'],Math,['Number Operations'],Comparing Unlike Fractions,"Rather than expecting all students to compare unlike fractions with just a pencil and paper, teachers can provide [[ Fraction Strips | fraction manipulatives ]] to give students a tangible tool to support their comprehension of comparing fractions. The use of these tools can be explicitly taught to the class as part of their understanding of fractions, although some students may require continued support in using them from the teacher or peers. An accompanying lesson on computing equivalent fractions may also be helpful, as fraction strips and circles may not include every possible fraction.","UDL I 3.2 Provide Multiple Means of Representation: Highlight patterns, critical features, big ideas, and relationships","Some students will have difficulty understanding and/or solving a fraction comparison of fractions with different numerators and denominators. Rewriting fractions with like denominators can be a difficult task for those who have trouble with fractions. Allowing students to have access to [[ Open Notes | open notes ]] may be a useful support. The content of the notes can be influenced by the teacher through editing, ensuring accuracy, or [[ Highlighting | highlighting ]] of important sections.",UDL II 6.3 Provide Multiple Means of Action and Expression: Facilitate managing information and resources,"Allowing students to solve fraction comparisons with a [[ Peer Tutoring | peer tutor ]] can provide support, foster relationships and cooperation-building among peers, and reduce the stress that some students feel when counseled too often by the teacher. The teacher may be present to support these tutor/tutee relationships and may also eliminate her presence over time. The teacher may also check-in with either the tutor or tutee after the sessions to more powerfully support the independence that the relationship is creating.",UDL III 8.4 Provide Multiple Means of Engagement: Increase mastery-oriented feedback,,,,,,
,,"By (date), when given a pair of unlike fractions (e.g. 1/2, 2/3), (name) will draw a comparison symbol between the fractions (e.g., >, =, <), then create a visual model to prove the comparison (e.g. pie graphs, number lines, arranged fraction strips), for (5 out of 5) fraction-comparison problems.",['4'],Mild,"By (date), when given a pair of unlike fractions (e.g. 1/2, 2/3), (name) will use [[ Open Notes | open notes ]] to draw a comparison symbol between the fractions (e.g., >, =, <), then create a visual model to prove the comparison (e.g. pie graphs, number lines, arranged fraction strips), for (5 out of 5) fraction-comparison problems.",Moderate,"By (date), when given a pair of unlike fractions (e.g. 1/2, 2/3), (name) will work with a [[ Peer Tutoring | peer tutor ]] and use [[ Open Notes | open notes ]] to draw a comparison symbol between the fractions (e.g., >, =, <), then create a visual model to prove the comparison (e.g. pie graphs, number lines, arranged fraction strips), for (4 out of 5) fraction-comparison problems.",Intense,"By (date), when given a written statement that compares unlike fractions (e.g. 1/2 < 2/3), (name) will work with a [[ Peer Tutoring | peer tutor ]] and use [[ Open Notes | open notes ]] to [[multiple choice|choose]] which of (4) visual models (e.g. pie graphs, number lines, arranged fraction strips) proves the comparison, for (3 out of 5) fraction-comparison problems.",,,,,,,['CCSS.Math.Content.4.NF.A.2'],Math,['Number Operations'],Comparing Unlike Fractions,"Rather than expecting all students to compare unlike fractions with just a pencil and paper, teachers can provide [[ Fraction Strips | fraction manipulatives ]] to give students a tangible tool to support their comprehension of comparing fractions. The use of these tools can be explicitly taught to the class as part of their understanding of fractions, although some students may require continued support in using them from the teacher or peers. An accompanying lesson on computing equivalent fractions may also be helpful, as fraction strips and circles may not include every possible fraction.","UDL I 3.2 Provide Multiple Means of Representation: Highlight patterns, critical features, big ideas, and relationships","Some students will have difficulty understanding and/or solving a fraction comparison of fractions with different numerators and denominators. Rewriting fractions with like denominators can be a difficult task for those who have trouble with fractions. Allowing students to have access to [[ Open Notes | open notes ]] may be a useful support. The content of the notes can be influenced by the teacher through editing, ensuring accuracy, or [[ Highlighting | highlighting ]] of important sections.",UDL II 6.3 Provide Multiple Means of Action and Expression: Facilitate managing information and resources,"Allowing students to solve fraction comparisons with a [[ Peer Tutoring | peer tutor ]] can provide support, foster relationships and cooperation-building among peers, and reduce the stress that some students feel when counseled too often by the teacher. The teacher may be present to support these tutor/tutee relationships and may also eliminate her presence over time. The teacher may also check-in with either the tutor or tutee after the sessions to more powerfully support the independence that the relationship is creating.",UDL III 8.4 Provide Multiple Means of Engagement: Increase mastery-oriented feedback,,,,,,
,,"By (date), (student) will be able to solve for unknown variables in real-world problem situations by setting up an equation or inequality in the form px + q = r and p(x + q) = r or  px + q > r or px + q < r, where p, q, and r are specific rational numbers. When given 5 problems in writing, (name) will solve 3 problems correctly.",['7'],Mild,"By (date), using a problem solving checklist, (student) will be able to solve for unknown variables in real-world problem situations by setting up an equation or inequality in the form px + q = r and p(x + q) = r or  px + q > r or px + q < r, where p, q, and r are specific rational numbers. When given 5 problems in writing and a [[ problem solving checklist | problem solving checklist ]], the student will solve 3 correctly.",Moderate,"By (date), (student) will be able to solve for unknown variables in real-world problem situations by setting up an equation or inequality in the form px + q = r and p(x + q) = r or  px + q > r or px + q < r, where p, q, and r are specific rational numbers. When given 5 problems, where all the numbers are whole numbers less than 10, in text and [[ read aloud | read-aloud ]], the student will solve 3 correctly using tactile [[ manipulatives | manipulatives ]] such as [[ algebra tiles | algebra tiles ]] and a [[ problem solving checklist | problem solving checklist ]] to complete the problems.",Intense,"By (date), (student) when given 5 algebraic problems in text, [[ read aloud | verbal ]] or [[ picture choices | pictorial forms ]], the student will be able to match the equation or inequality that illustrates the problem situation by selecting the card that shows the correct equation or inequality when given a choice between 2 cards. Student will complete task correctly for 3/5 problems.",,,,,,,['CCSS.Math.Content.7.EE.B.4'],Math,['Expressions and Equations'],Solving Equations and Inequalities,"If students are discouraged by the difficulty of the task, teachers can differentiate the degree of difficulty of the task so that students develop confidence and are more motivated to complete higher level tasks. For example if students are competent in solving two-step algebraic equations without a [[ problem solving checklist | problem solving checklist ]] but still like the scaffolded guide, teachers can encourage students to use the checklist for the first two problems and then remove it for the next two.",UDL III 8.2 Provide Multiple Means of Engagement: Vary demands and resources to optimize challenge,"Instead of the student writing out the equation/inequality of the problem, the student can use [[ algebra tiles | algebra tiles ]] to illustrate and solve the problem situation algebraically. Instead of students having to perform arithmetic mentally, they can use a [[ calculator | calculator ]] to solve steps of the equation.",UDL II 5.1 Provide Multiple Means of Action and Expression: Use multiple media for communication,Instead of just providing the students the equations and asking them to find the value of the variable the teacher can provide a scaffolded problem solving [[ problem solving checklist | checklist ]] that prompts the student on each step of solving the equation.,"UDL I 3.3 Provide Multiple Means of Representation: Guide information processing, visualization, and manipulation",,,,,,
,,"By (date), (student) will be able to solve for unknown variables in real-world problem situations by setting up an equation or inequality in the form px + q = r and p(x + q) = r or  px + q > r or px + q < r, where p, q, and r are specific rational numbers. When given 5 problems in writing, (name) will solve 3 problems correctly.",['7'],Mild,"By (date), using a problem solving checklist, (student) will be able to solve for unknown variables in real-world problem situations by setting up an equation or inequality in the form px + q = r and p(x + q) = r or  px + q > r or px + q < r, where p, q, and r are specific rational numbers. When given 5 problems in writing and a [[ problem solving checklist | problem solving checklist ]], the student will solve 3 correctly.",Moderate,"By (date), (student) will be able to solve for unknown variables in real-world problem situations by setting up an equation or inequality in the form px + q = r and p(x + q) = r or  px + q > r or px + q < r, where p, q, and r are specific rational numbers. When given 5 problems, where all the numbers are whole numbers less than 10, in text and [[ read aloud | read-aloud ]], the student will solve 3 correctly using tactile [[ manipulatives | manipulatives ]] such as [[ algebra tiles | algebra tiles ]] and a [[ problem solving checklist | problem solving checklist ]] to complete the problems.",Intense,"By (date), (student) when given 5 algebraic problems in text, [[ read aloud | verbal ]] or [[ picture choices | pictorial forms ]], the student will be able to match the equation or inequality that illustrates the problem situation by selecting the card that shows the correct equation or inequality when given a choice between 2 cards. Student will complete task correctly for 3/5 problems.",,,,,,,['CCSS.Math.Content.7.EE.B.4'],Math,['Expressions and Equations'],Solving Equations and Inequalities,"If students are discouraged by the difficulty of the task, teachers can differentiate the degree of difficulty of the task so that students develop confidence and are more motivated to complete higher level tasks. For example if students are competent in solving two-step algebraic equations without a [[ problem solving checklist | problem solving checklist ]] but still like the scaffolded guide, teachers can encourage students to use the checklist for the first two problems and then remove it for the next two.",UDL III 8.2 Provide Multiple Means of Engagement: Vary demands and resources to optimize challenge,"Instead of the student writing out the equation/inequality of the problem, the student can use [[ algebra tiles | algebra tiles ]] to illustrate and solve the problem situation algebraically. Instead of students having to perform arithmetic mentally, they can use a [[ calculator | calculator ]] to solve steps of the equation.",UDL II 5.1 Provide Multiple Means of Action and Expression: Use multiple media for communication,Instead of just providing the students the equations and asking them to find the value of the variable the teacher can provide a scaffolded problem solving [[ problem solving checklist | checklist ]] that prompts the student on each step of solving the equation.,"UDL I 3.3 Provide Multiple Means of Representation: Guide information processing, visualization, and manipulation",,,,,,
,,"By (date), when given a written description of a real-world situation, (name) will define and use variables to write a mathematical expression that represents the situation for (4 out of 5) situations presented.",['6'],Mild,"By (date), after [[ peer tutoring | working with a peer ]] to [[ highlighting | highlight ]] key information in written real-world situations (e.g. mathematical operation key words, variable notation, numerical amounts), (name) will correctly write (4 out of 5) mathematical expressions using variable notation to represent the real-world situations.",Moderate,"By (date), when given [[ problem solving checklist | guided prompts ]] associated with a problem task (e.g. ""Step 1: Identify the variable."", ""Step 2: What letter are you using to represent the variable?"" and ""Step 3: What operation is expressed in the situation?""), (name) will correctly write or verbalize (4 out of 5) mathematical expressions.",Intense,"By (date), using a math software program that allows the user to pick symbols, key words and number icons via a touch screen, (name) will correctly build algebraic expressions for (4 out of 5) real-world situations presented to (him/her) verbally or in writing.",,,,,,,['CCSS.Math.Content.6.EE.B.6'],Math,['Expressions and Equations'],Variables & Writing Expressions,"Instead of having students work with black-and-white text, teachers can allow students to [[ highlighting | highlight ]] key information when developing expressions to represent real-world situations. This draws attention to key elements in the problem that are critical features to emphasize when solving the problems.","UDL I 3.2 Provide Multiple Means of Representation: Highlight patterns, critical features, big ideas, and relationships","Instead of having students directly solve the problem, teachers can provide a [[ problem solving checklist | problem-solving checklist ]] to guide the students through the solution process. These prompts allow students to plan ahead for the next step and to break down each problem before implementing the solution strategy.",UDL II 6.2 Provide Multiple Means of Action and Expression: Support planning and strategy development,"Instead of having students work individually, teachers can allow students to [[ peer tutoring | work with a peer ]] to aid them in identifying key information in the problem. This encourages students to seek the support of their peers and to know that it is acceptable to ask for help when they need it.",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"By (date), when given a written description of a real-world situation, (name) will define and use variables to write a mathematical expression that represents the situation for (4 out of 5) situations presented.",['6'],Mild,"By (date), after [[ peer tutoring | working with a peer ]] to [[ highlighting | highlight ]] key information in written real-world situations (e.g. mathematical operation key words, variable notation, numerical amounts), (name) will correctly write (4 out of 5) mathematical expressions using variable notation to represent the real-world situations.",Moderate,"By (date), when given [[ problem solving checklist | guided prompts ]] associated with a problem task (e.g. ""Step 1: Identify the variable."", ""Step 2: What letter are you using to represent the variable?"" and ""Step 3: What operation is expressed in the situation?""), (name) will correctly write or verbalize (4 out of 5) mathematical expressions.",Intense,"By (date), using a math software program that allows the user to pick symbols, key words and number icons via a touch screen, (name) will correctly build algebraic expressions for (4 out of 5) real-world situations presented to (him/her) verbally or in writing.",,,,,,,['CCSS.Math.Content.6.EE.B.6'],Math,['Expressions and Equations'],Variables & Writing Expressions,"Instead of having students work with black-and-white text, teachers can allow students to [[ highlighting | highlight ]] key information when developing expressions to represent real-world situations. This draws attention to key elements in the problem that are critical features to emphasize when solving the problems.","UDL I 3.2 Provide Multiple Means of Representation: Highlight patterns, critical features, big ideas, and relationships","Instead of having students directly solve the problem, teachers can provide a [[ problem solving checklist | problem-solving checklist ]] to guide the students through the solution process. These prompts allow students to plan ahead for the next step and to break down each problem before implementing the solution strategy.",UDL II 6.2 Provide Multiple Means of Action and Expression: Support planning and strategy development,"Instead of having students work individually, teachers can allow students to [[ peer tutoring | work with a peer ]] to aid them in identifying key information in the problem. This encourages students to seek the support of their peers and to know that it is acceptable to ask for help when they need it.",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"By (date), (name) will find the area of various polygons by composing them into rectangles or decomposing them into triangles and other shapes in (4 out of 5) written real-world examples.",['6'],Mild,"By (date), when given (5) written real-world examples with accompanying [[ labeled diagram | labeled diagrams ]] of all polygons referenced, (name) will find the area of various polygons by composing them into rectangles or decomposing them into triangles and other shapes (4 out of 5) times.",Moderate,"By (date), when given a rectangular dissection puzzle with triangular pieces (i.e. [[ Manipulatives | a modified tangram ]] with labeled dimensions), (name) will successfully find the area of the puzzle and individual pieces by composing them into a rectangle and decomposing the shape back into triangles for (4 out of 5) puzzles.",Intense,"By (date), given a rectangular dissection puzzle with triangular pieces that each have an area of one square unit (i.e. [[ Manipulatives | a modified tangram ]]), (name) will successfully find the area of the puzzle by composing the pieces into a rectangle and having a partner count the total number of triangles for (4 out of 5) puzzles.",,,,,,,['CCSS.Math.Content.6.G.A.1'],Math,['Geometry'],Finding Area through Composition and Decomposition of Polygons,Teachers can provide [[ labeled diagram | labeled diagrams ]] of all polygons referenced to assist students in calculating the area. This scaffold supports students when processing information and provides additional entry points to access the material.,"UDL I 3.3 Provide Multiple Means of Representation: Guide information processing, visualization, and manipulation","Instead of having the student complete the problem on paper, teachers can provide [[ Manipulatives | a modified tangram ]] for the student to use when decomposing the rectangular dissection puzzle. By using this resource, students are able to participate in the activity and to demonstrate what they know.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"Instead of having the student work individually, teachers can allow students to work with a partner who counts the total number of triangles in the decomposed shape. Cooperative learning encourages the student to seek assistance when they need it and know that they are supported in their effort to understand the content.",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"By (date), (name) will find the area of various polygons by composing them into rectangles or decomposing them into triangles and other shapes in (4 out of 5) written real-world examples.",['6'],Mild,"By (date), when given (5) written real-world examples with accompanying [[ labeled diagram | labeled diagrams ]] of all polygons referenced, (name) will find the area of various polygons by composing them into rectangles or decomposing them into triangles and other shapes (4 out of 5) times.",Moderate,"By (date), when given a rectangular dissection puzzle with triangular pieces (i.e. [[ Manipulatives | a modified tangram ]] with labeled dimensions), (name) will successfully find the area of the puzzle and individual pieces by composing them into a rectangle and decomposing the shape back into triangles for (4 out of 5) puzzles.",Intense,"By (date), given a rectangular dissection puzzle with triangular pieces that each have an area of one square unit (i.e. [[ Manipulatives | a modified tangram ]]), (name) will successfully find the area of the puzzle by composing the pieces into a rectangle and having a partner count the total number of triangles for (4 out of 5) puzzles.",,,,,,,['CCSS.Math.Content.6.G.A.1'],Math,['Geometry'],Finding Area through Composition and Decomposition of Polygons,Teachers can provide [[ labeled diagram | labeled diagrams ]] of all polygons referenced to assist students in calculating the area. This scaffold supports students when processing information and provides additional entry points to access the material.,"UDL I 3.3 Provide Multiple Means of Representation: Guide information processing, visualization, and manipulation","Instead of having the student complete the problem on paper, teachers can provide [[ Manipulatives | a modified tangram ]] for the student to use when decomposing the rectangular dissection puzzle. By using this resource, students are able to participate in the activity and to demonstrate what they know.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"Instead of having the student work individually, teachers can allow students to work with a partner who counts the total number of triangles in the decomposed shape. Cooperative learning encourages the student to seek assistance when they need it and know that they are supported in their effort to understand the content.",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"Given a list of (8) numbers from 11 to 19, (name) will draw each number using dots or tallies, circle a group of ten and identify by pointing to or saying out loud the number that is in the tens place and the ones place for (7/8) numbers in (4 out of 5 student work samples).",['K'],Mild,"Given a list of (8) numbers from 11 to 19, (name) will construct each number using manipulatives then produce a drawing that groups a set of ten and identifies the number that is in the tens place and the ones place for (7/8) numbers in (4 out of 5 student work samples).",Moderate,"Given a list of (8) numbers from 11 to 19, (name) will construct each number using manipulatives by grouping a set of ten in a group and the ones in a group then identifying the number that is in the tens place and the ones place for (7/8) numbers in (4 out of 5 student work samples).",Intense,"Given (5) numbers from 11 to 19, (name) will construct each number using manipulatives, (name) will group a set of ten in a cup and leave the remaining ones in a group then identify the number that is in the cups as the tens place and the group of ones as the ones place for (4/5) numbers in (4 out of 5 student work samples).",,,,,,,['CCSS.Math.Content.K.NBT.A.1'],Math,['Number System'],Place Value: Ones and Tens,"Instead of having students view a list of numbers, teachers can give students a picture or a matching amount of manipulatives (such as ones cubes) for each number for students to use for grouping ten together or trading ten ones in for a stick of ten and identifying the number in the tens and ones place. (i.e. 13 is 1 ten in the tens place and 3 ones in the ones place).",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"Instead of having students draw from a list of numbers, teachers can give students manipulatives such as ones cubes and ten sticks for students to use to build each number and identify the number in the tens and ones place.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"Instead of asking students to draw each number using dots, teachers can have students draw the correct amount of an item relevant to them (i.e draw 13 of your favorite toy).","UDL III 7.2 Provide Multiple Means of Engagement: Optimize relevance, value, and authenticity",,,,,,
,,"Given a list of (8) numbers from 11 to 19, (name) will draw each number using dots or tallies, circle a group of ten and identify by pointing to or saying out loud the number that is in the tens place and the ones place for (7/8) numbers in (4 out of 5 student work samples).",['K'],Mild,"Given a list of (8) numbers from 11 to 19, (name) will construct each number using manipulatives then produce a drawing that groups a set of ten and identifies the number that is in the tens place and the ones place for (7/8) numbers in (4 out of 5 student work samples).",Moderate,"Given a list of (8) numbers from 11 to 19, (name) will construct each number using manipulatives by grouping a set of ten in a group and the ones in a group then identifying the number that is in the tens place and the ones place for (7/8) numbers in (4 out of 5 student work samples).",Intense,"Given (5) numbers from 11 to 19, (name) will construct each number using manipulatives, (name) will group a set of ten in a cup and leave the remaining ones in a group then identify the number that is in the cups as the tens place and the group of ones as the ones place for (4/5) numbers in (4 out of 5 student work samples).",,,,,,,['CCSS.Math.Content.K.NBT.A.1'],Math,['Number System'],Place Value: Ones and Tens,"Instead of having students view a list of numbers, teachers can give students a picture or a matching amount of manipulatives (such as ones cubes) for each number for students to use for grouping ten together or trading ten ones in for a stick of ten and identifying the number in the tens and ones place. (i.e. 13 is 1 ten in the tens place and 3 ones in the ones place).",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"Instead of having students draw from a list of numbers, teachers can give students manipulatives such as ones cubes and ten sticks for students to use to build each number and identify the number in the tens and ones place.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"Instead of asking students to draw each number using dots, teachers can have students draw the correct amount of an item relevant to them (i.e draw 13 of your favorite toy).","UDL III 7.2 Provide Multiple Means of Engagement: Optimize relevance, value, and authenticity",,,,,,
