assessment_items_images,assessment_items_resources,goal_text,grades,objectives_objective_0_level,objectives_objective_0_text,objectives_objective_1_level,objectives_objective_1_text,objectives_objective_2_level,objectives_objective_2_text,objectives_objective_3_level,objectives_objective_3_text,objectives_objective_4_level,objectives_objective_4_text,objectives_objective_5_level,objectives_objective_5_text,standard_codes,subject,subject_domains,title,udl_adaptations_udl_adaptations_0_text,udl_adaptations_udl_adaptations_0_udl_standard_long_ref,udl_adaptations_udl_adaptations_1_text,udl_adaptations_udl_adaptations_1_udl_standard_long_ref,udl_adaptations_udl_adaptations_2_text,udl_adaptations_udl_adaptations_2_udl_standard_long_ref,udl_adaptations_udl_adaptations_3_text,udl_adaptations_udl_adaptations_3_udl_standard_long_ref,udl_adaptations_udl_adaptations_4_text,udl_adaptations_udl_adaptations_4_udl_standard_long_ref,udl_adaptations_udl_adaptations_5_text,udl_adaptations_udl_adaptations_5_udl_standard_long_ref
,,"By (date), when encountering another person in a public space (e.g. at the library, at the mall), (name) will demonstrate at least (2) behaviors for engaging in a social interaction based on the relationship with the person (e.g. with a family member, student hugs him/her and says ""hey there""; with a stranger the student says ""hi"" and shakes hands while maintaining personal space) for (3 out of 3) social-interaction opportunities.","['9', '10', '11', '12']",Mild,"By (date), after receiving [[preteaching|preteaching]] on how to engage with familiar versus unfamiliar individuals in a social setting, when encountering another person in a public space (e.g. at the library, at the mall), (name) will demonstrate at least (2) behaviors for engaging in a social interaction based on the relationship with the person (e.g. with a family member, student hugs him/her and says ""hey there""; with a stranger the student says ""hi"" and shakes hands while maintaining personal space) for (3 out of 3) social-interaction opportunities.",Moderate,"By (date), after a verbal [[preteaching|review]] and reading a [[social narratives|social narrative]] on how to engage with familiar versus unfamiliar individuals in a social setting, when encountering another person in a public space (e.g. at the library, at the mall), (name) will demonstrate at least (2) behaviors for engaging in a social interaction based on the relationship with the person (e.g. with a family member, student hugs him/her and says ""hey there""; with a stranger the student says ""hi"" and shakes hands while maintaining personal space) for (3 out of 3) social-interaction opportunities.",Intense,"By (date), after reading a [[social narratives|social narrative]] on how to engage with familiar versus unfamiliar individuals in a social setting, when [[social role play|role playing]] how to interact with a familiar versus an unfamiliar individual in the community (e.g. at the library, at the mall), (name) will demonstrate at least (2) behaviors for engaging in a social interaction based on the relationship with the person (e.g. with a family member, student hugs him/her and says ""hey there""; with a stranger the student says ""hi"" and shakes hands while maintaining personal space), using a [[interactive writing|pre-written script]] (e.g. script written collaboratively with the teacher) for (3 out of 3) social-interaction role-playing opportunities.",,,,,,,[],Transition,['Social & Emotional Skills'],Modify Behavior Based on the Individual,"Some students benefit from visual learning in addition to auditory explanation of the rules of an expected behavior. [[Modeling Behaviors|Modeling behaviors]] enables the teacher to show and explain a complex social rule, such as how to know when you hug someone, in a visual and detailed manner with different examples.",UDL I 1.2 Provide Multiple Means of Representation: Offer alternatives for auditory information,Using [[ Picture Choices | photo choice ]] matching (e.g. the student matches a person with an illustrated social interaction) enables the student to demonstrate what they understand in a visual and physical manner.,UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,"[[ Social Narratives | Social stories ]] can be a useful too for daily corrective feedback and teaching for students with moderate to severe support needs.  The stories enable teachers one-on-one interaction, reading, comprehension building, social skill building, and time to focus on target skills.",UDL III 8.4 Provide Multiple Means of Engagement: Increase mastery-oriented feedback,,,,,,
,,"By (date), when encountering another person in a public space (e.g. at the library, at the mall), (name) will demonstrate at least (2) behaviors for engaging in a social interaction based on the relationship with the person (e.g. with a family member, student hugs him/her and says ""hey there""; with a stranger the student says ""hi"" and shakes hands while maintaining personal space) for (3 out of 3) social-interaction opportunities.","['9', '10', '11', '12']",Mild,"By (date), after receiving [[preteaching|preteaching]] on how to engage with familiar versus unfamiliar individuals in a social setting, when encountering another person in a public space (e.g. at the library, at the mall), (name) will demonstrate at least (2) behaviors for engaging in a social interaction based on the relationship with the person (e.g. with a family member, student hugs him/her and says ""hey there""; with a stranger the student says ""hi"" and shakes hands while maintaining personal space) for (3 out of 3) social-interaction opportunities.",Moderate,"By (date), after a verbal [[preteaching|review]] and reading a [[social narratives|social narrative]] on how to engage with familiar versus unfamiliar individuals in a social setting, when encountering another person in a public space (e.g. at the library, at the mall), (name) will demonstrate at least (2) behaviors for engaging in a social interaction based on the relationship with the person (e.g. with a family member, student hugs him/her and says ""hey there""; with a stranger the student says ""hi"" and shakes hands while maintaining personal space) for (3 out of 3) social-interaction opportunities.",Intense,"By (date), after reading a [[social narratives|social narrative]] on how to engage with familiar versus unfamiliar individuals in a social setting, when [[social role play|role playing]] how to interact with a familiar versus an unfamiliar individual in the community (e.g. at the library, at the mall), (name) will demonstrate at least (2) behaviors for engaging in a social interaction based on the relationship with the person (e.g. with a family member, student hugs him/her and says ""hey there""; with a stranger the student says ""hi"" and shakes hands while maintaining personal space), using a [[interactive writing|pre-written script]] (e.g. script written collaboratively with the teacher) for (3 out of 3) social-interaction role-playing opportunities.",,,,,,,[],Transition,['Social & Emotional Skills'],Modify Behavior Based on the Individual,"Some students benefit from visual learning in addition to auditory explanation of the rules of an expected behavior. [[Modeling Behaviors|Modeling behaviors]] enables the teacher to show and explain a complex social rule, such as how to know when you hug someone, in a visual and detailed manner with different examples.",UDL I 1.2 Provide Multiple Means of Representation: Offer alternatives for auditory information,Using [[ Picture Choices | photo choice ]] matching (e.g. the student matches a person with an illustrated social interaction) enables the student to demonstrate what they understand in a visual and physical manner.,UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,"[[ Social Narratives | Social stories ]] can be a useful too for daily corrective feedback and teaching for students with moderate to severe support needs.  The stories enable teachers one-on-one interaction, reading, comprehension building, social skill building, and time to focus on target skills.",UDL III 8.4 Provide Multiple Means of Engagement: Increase mastery-oriented feedback,,,,,,
,,"By (date), after determining 3 areas of career interest by completing an online interest inventory (e.g. [[ http://www.cacareerzone.org/assessments | CACareerzone.org Self-Assessment]]) and updating (name's) resume (e.g. including current education, volunteer/extracurricular activities, and any paid work experience), (name) will call (3) professionals and set up an appointment for an informational interview to discuss each potential job shadowing opportunity for (3 out of 3) job shadowing contacts.","['9', '10', '11', '12']",Mild,"By (date), after determining 3 areas of career interest by completing an online interest inventory (e.g. [[ http://www.cacareerzone.org/assessments | CACareerzone.org Self-Assessment]]) and updating (name's) resume (e.g. including current education, volunteer/extracurricular activities, and any paid work experience), when given a list of (10) choices of possible job shadowing opportunities, (name) will use the contact information provided on the list to call (3) professionals and set up an appointment for an informational interview to discuss each potential job shadowing opportunity for (3 out of 3) job shadowing contacts.",Moderate,"By (date), when given a list of (5) contacts at possible job shadowing opportunities and [[ Cue Cards | social cue cards ]], (name) will use the contact information provided on the list to call (2) professionals and use the cue cards to set up an appointment for an informational interview to discuss each potential job shadowing opportunity for (3 out of 3) job shadowing contacts.

Example of Social Cue Cards:
""Hi, my name is ___, I am calling to speak with ___."" 
""I'm interested in shadowing you because I think I may want to pursue a career in ___."" 
""Are you available to talk to me about setting up an appointment?"" 
""My phone number is ___ and my email is ___.""",Intense,"By (date), when provided the opportunity to speak with a professional from one of his/her careers of choice, given a script to follow, and verbal prompts by the teacher (e.g. ""It is your turn to ask the first question"", ""It is your turn to respond now""), (name) will select (e.g. point, use eye gaze) pictures from a [[ Choice Boards | visual choice board ]] with pre-recorded questions and responses to ask (3) questions about his/her career for (1) interview with a professional.",,,,,,,[],Transition,"['Education & Training', 'Career Exploration', 'Career Skills']",Job Shadowing,Students may find the task of researching and cold calling professionals in the community daunting so providing a pre-written list of possible job shadowing opportunities allows a good variety of choice but still narrows the scope of their decision.,UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,Creating a script for students to use when they call professionals about job shadowing gives them confidence that they will get the information they need to set up the opportunity. This also allows students with memory deficits to have a reference and those with attention difficulties to attend to the task at hand.,UDL I 1.1 Provide Multiple Means of Representation: Offer ways of customizing the display of information,"If students are asked to choose but not provided choices, this can be very overwhelming. Creating a [[ Choice Boards | choice board ]]  with visual representations of possible jobs allows students to visually recognize jobs they may encounter in their lives and choose from those. Visually representing the positions allows access for readers and non-readers alike.",UDL III 9.1 Provide Multiple Means of Engagement: Promote expectations and beliefs that optimize motivation,,,,,,
,,"By (date), after determining 3 areas of career interest by completing an online interest inventory (e.g. [[ http://www.cacareerzone.org/assessments | CACareerzone.org Self-Assessment]]) and updating (name's) resume (e.g. including current education, volunteer/extracurricular activities, and any paid work experience), (name) will call (3) professionals and set up an appointment for an informational interview to discuss each potential job shadowing opportunity for (3 out of 3) job shadowing contacts.","['9', '10', '11', '12']",Mild,"By (date), after determining 3 areas of career interest by completing an online interest inventory (e.g. [[ http://www.cacareerzone.org/assessments | CACareerzone.org Self-Assessment]]) and updating (name's) resume (e.g. including current education, volunteer/extracurricular activities, and any paid work experience), when given a list of (10) choices of possible job shadowing opportunities, (name) will use the contact information provided on the list to call (3) professionals and set up an appointment for an informational interview to discuss each potential job shadowing opportunity for (3 out of 3) job shadowing contacts.",Moderate,"By (date), when given a list of (5) contacts at possible job shadowing opportunities and [[ Cue Cards | social cue cards ]], (name) will use the contact information provided on the list to call (2) professionals and use the cue cards to set up an appointment for an informational interview to discuss each potential job shadowing opportunity for (3 out of 3) job shadowing contacts.

Example of Social Cue Cards:
""Hi, my name is ___, I am calling to speak with ___."" 
""I'm interested in shadowing you because I think I may want to pursue a career in ___."" 
""Are you available to talk to me about setting up an appointment?"" 
""My phone number is ___ and my email is ___.""",Intense,"By (date), when provided the opportunity to speak with a professional from one of his/her careers of choice, given a script to follow, and verbal prompts by the teacher (e.g. ""It is your turn to ask the first question"", ""It is your turn to respond now""), (name) will select (e.g. point, use eye gaze) pictures from a [[ Choice Boards | visual choice board ]] with pre-recorded questions and responses to ask (3) questions about his/her career for (1) interview with a professional.",,,,,,,[],Transition,"['Education & Training', 'Career Exploration', 'Career Skills']",Job Shadowing,Students may find the task of researching and cold calling professionals in the community daunting so providing a pre-written list of possible job shadowing opportunities allows a good variety of choice but still narrows the scope of their decision.,UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,Creating a script for students to use when they call professionals about job shadowing gives them confidence that they will get the information they need to set up the opportunity. This also allows students with memory deficits to have a reference and those with attention difficulties to attend to the task at hand.,UDL I 1.1 Provide Multiple Means of Representation: Offer ways of customizing the display of information,"If students are asked to choose but not provided choices, this can be very overwhelming. Creating a [[ Choice Boards | choice board ]]  with visual representations of possible jobs allows students to visually recognize jobs they may encounter in their lives and choose from those. Visually representing the positions allows access for readers and non-readers alike.",UDL III 9.1 Provide Multiple Means of Engagement: Promote expectations and beliefs that optimize motivation,,,,,,
,,"By (date), given a task that evokes feelings of self-doubt (e.g. earning a low score on a test), (name) will use (1) self-esteem strategy (e.g. [[self-coaching|self-coaching]]) to maintain positive self-esteem and will complete (1) [[Student Inventory|self-reflection questionnaire]] (e.g. by answering: ""Describe which self-esteem strategy was used."" ""How did the strategy impact your self-view?"") for (4 out of 4) incidents evoking self-doubt.","['9', '10', '11', '12']",Mild,"By (date), given a task that evokes feelings of self-doubt (e.g. earning a low score on a test), after [[preteaching|preteaching]] of self-esteem strategies and given [[verbal prompting|verbal prompting]] by the teacher, (name) will use (1) self-esteem strategy (e.g. [[self-coaching|self-coaching]]) to maintain positive self-esteem and will complete (1) [[Self-Monitoring|self-reflection questionnaire]] (e.g. by answering: ""Describe which self-esteem strategy was used."" ""How did the strategy impact your self-view?"") for (3 out of 4) incidents evoking self-doubt.",Moderate,"By (date), given a task that evokes feelings of self-doubt (e.g. earning a low score on a test), after [[preteaching|preteaching]] of self-esteem strategies and given list of at least (10) positive self coaching statements in a [[ reference materials | journal ]], (name) will use (1) self-esteem strategy (e.g. [[self-coaching|self-coaching]]) to maintain positive self-esteem and will complete (1) [[Self-Monitoring|self-reflection questionnaire]] (e.g. by answering: ""Describe which self-esteem strategy was used."" ""How did the strategy impact your self-view?"") for (3 out of 4) incidents evoking self-doubt.

Examples of Positive Self-Talk Statements:
1) I can do this by myself.
2) I am smart.
3) I will keep going.
4) I will succeed.
5) I can do my best.",Intense,"By (date), given a teacher-created list of at least (10) positive and negative self-talk statements written as sentences with [[ Visual Aids | visual supports ]], (name) will use a low-tech or high-tech device (e.g. sentence strips with visual aids, pre-recorded sentences on VOCA buttons with [[ Picture Choices | picture choices ]]) and will sort the sentences/pictures correctly into the two categories by identifying at least (4) examples and (4) non-examples of negative self-talk and positive [[self-coaching|self-coaching]] statements for (2 out of 3) self-talk categorization activities.",,,,,,,[],Transition,"['Employment', 'Social & Emotional Skills']",Positive Self-Esteem,"Varying [[adapted text|adapted]] print materials for a [[self-coaching|self-talk]] categorization activity allows the student to access the material at an individualized level. The text can be adapted to an easier reading level, to include [[ Visual Aids | visual supports ]] or to include prerecorded sentences on VOCA buttons with [[ Picture Choices | picture choices ]]. Adapted texts allow students to access the text and build vital self-esteem skills at the same time.",UDL I 1.1 Provide Multiple Means of Representation: Offer ways of customizing the display of information,Students may benefit from the immediate feedback from self-monitoring activities. A [[ Self-Monitoring | self-reflection questionnaire ]] supports the reflection process by guiding students' thinking and responses as the focus remains on the positive self-coaching statements and student skill building in self-esteem. Engaging students to reflect on the specific self-esteem strategy that was used or how well it worked for them helps them express their feelings and the use of the target strategies.,UDL II 6.4 Provide Multiple Means of Action and Expression: Enhance capacity for monitoring progress,"Journaling is a support strategy for getting students to work through frustrating moments. Guiding students to use positive [[self-coaching|self-coaching]] statements in a journal may help build their independence skills, coping skills and self-esteem, which are all critical to remain positively engaged in tasks and to work and live in the adult world.","UDL III 7.2 Provide Multiple Means of Engagement: Optimize relevance, value, and authenticity",,,,,,
,,"By (date), given a task that evokes feelings of self-doubt (e.g. earning a low score on a test), (name) will use (1) self-esteem strategy (e.g. [[self-coaching|self-coaching]]) to maintain positive self-esteem and will complete (1) [[Student Inventory|self-reflection questionnaire]] (e.g. by answering: ""Describe which self-esteem strategy was used."" ""How did the strategy impact your self-view?"") for (4 out of 4) incidents evoking self-doubt.","['9', '10', '11', '12']",Mild,"By (date), given a task that evokes feelings of self-doubt (e.g. earning a low score on a test), after [[preteaching|preteaching]] of self-esteem strategies and given [[verbal prompting|verbal prompting]] by the teacher, (name) will use (1) self-esteem strategy (e.g. [[self-coaching|self-coaching]]) to maintain positive self-esteem and will complete (1) [[Self-Monitoring|self-reflection questionnaire]] (e.g. by answering: ""Describe which self-esteem strategy was used."" ""How did the strategy impact your self-view?"") for (3 out of 4) incidents evoking self-doubt.",Moderate,"By (date), given a task that evokes feelings of self-doubt (e.g. earning a low score on a test), after [[preteaching|preteaching]] of self-esteem strategies and given list of at least (10) positive self coaching statements in a [[ reference materials | journal ]], (name) will use (1) self-esteem strategy (e.g. [[self-coaching|self-coaching]]) to maintain positive self-esteem and will complete (1) [[Self-Monitoring|self-reflection questionnaire]] (e.g. by answering: ""Describe which self-esteem strategy was used."" ""How did the strategy impact your self-view?"") for (3 out of 4) incidents evoking self-doubt.

Examples of Positive Self-Talk Statements:
1) I can do this by myself.
2) I am smart.
3) I will keep going.
4) I will succeed.
5) I can do my best.",Intense,"By (date), given a teacher-created list of at least (10) positive and negative self-talk statements written as sentences with [[ Visual Aids | visual supports ]], (name) will use a low-tech or high-tech device (e.g. sentence strips with visual aids, pre-recorded sentences on VOCA buttons with [[ Picture Choices | picture choices ]]) and will sort the sentences/pictures correctly into the two categories by identifying at least (4) examples and (4) non-examples of negative self-talk and positive [[self-coaching|self-coaching]] statements for (2 out of 3) self-talk categorization activities.",,,,,,,[],Transition,"['Employment', 'Social & Emotional Skills']",Positive Self-Esteem,"Varying [[adapted text|adapted]] print materials for a [[self-coaching|self-talk]] categorization activity allows the student to access the material at an individualized level. The text can be adapted to an easier reading level, to include [[ Visual Aids | visual supports ]] or to include prerecorded sentences on VOCA buttons with [[ Picture Choices | picture choices ]]. Adapted texts allow students to access the text and build vital self-esteem skills at the same time.",UDL I 1.1 Provide Multiple Means of Representation: Offer ways of customizing the display of information,Students may benefit from the immediate feedback from self-monitoring activities. A [[ Self-Monitoring | self-reflection questionnaire ]] supports the reflection process by guiding students' thinking and responses as the focus remains on the positive self-coaching statements and student skill building in self-esteem. Engaging students to reflect on the specific self-esteem strategy that was used or how well it worked for them helps them express their feelings and the use of the target strategies.,UDL II 6.4 Provide Multiple Means of Action and Expression: Enhance capacity for monitoring progress,"Journaling is a support strategy for getting students to work through frustrating moments. Guiding students to use positive [[self-coaching|self-coaching]] statements in a journal may help build their independence skills, coping skills and self-esteem, which are all critical to remain positively engaged in tasks and to work and live in the adult world.","UDL III 7.2 Provide Multiple Means of Engagement: Optimize relevance, value, and authenticity",,,,,,
,,"By (date), when selecting what clothes to wear in the morning, (name) will choose appropriate clothing for the day's activities (e.g. professional clothing for an interview, an umbrella for the rain) and will refrain from selecting clothes that are not appropriate (e.g. choosing a jacket in summer, provocative clothing) for (3 out of 3) clothing-choice opportunities.","['9', '10', '11', '12']",Mild,"By (date), given [[ Preteaching | a review ]] of expected dress before a special event (e.g. the start of a new job) by an adult (e.g. family member, teacher, coach), when selecting what clothes to wear in the morning, (name) will choose appropriate clothing for the event, weather or occasion (e.g. choosing a professional jacket and pants for an interview, choosing an umbrella for the rain) and refrain from selecting clothes that are not appropriate (e.g. choosing a jacket in summer, provocative clothing) for (3 out of 3) mornings.",Moderate,"By (date), given (30) [[ Picture Choices | images of individuals ]], (name) will use a [[ Poster Summary | poster with pictures ]] detailing examples of appropriate (e.g. choosing a professional jacket and pants for an interview, choosing an umbrella for the rain) and/or inappropriate dress (e.g. choosing a jacket in summer, provocative clothing) for different occasions, to sort the pictures correctly into the two categories by identifying at least (15) examples and (15) non-examples of appropriate dress for different occasions for (1 out of 1) appropriate dress categorization activities.",Intense,"By (date), given (8) [[ Picture Choices | images of individuals ]] detailing exaggerated examples (e.g. choosing a professional jacket and pants for an interview, choosing an raincoat and umbrella for a monsoon) and non-examples (e.g. choosing a down jacket, hat and mittens in summer, provocative clothing at work) of appropriate dress for different occasions and given teacher verbal prompting (e.g. Does this person look like they need a jacket in the summer time?""), (name) will sort the pictures correctly into the two categories by identifying at least (4) examples and (4) non-examples of appropriate dress for different occasions for (1 out of 1) appropriate dress categorization activities.",,,,,,,[],Transition,"['Daily Living Skills', 'Career Skills']",Selects Appropriate Clothing,Students come to school with a variety of knowledge and experiences. It is important to activate their background knowledge about appropriate dress and preteach needed content or skills necessary to make appropriate decisions through the use of [[Preteaching|preteaching]]. Teachers can review expected behavior or choice-making processes as well as assist students to understand why certain choices are appropriate over other choices. Preteaching is an important review strategy!,UDL I 3.1 Provide Multiple Means of Representation: Activate or supply background knowledge,"Rather than responding to a teacher orally or through writing, a student can communicate by selecting [[ Picture Choices | picture choices ]]. The picture choices can be adapted in how they are created or how they are used. For example, the picture choices can be created by a teacher, by the student, or collaboratively. The images can be made from a variety of media including: pictures from magazines, newspapers, printed from online or hand drawn. A student can identify his/her picture choices by responding in the best mode possible, be it by pointing, orally explaining or through eye gaze.",UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,Teachers can increase relevance by discussing dress code examples related to students' desired careers.,"UDL III 7.2 Provide Multiple Means of Engagement: Optimize relevance, value, and authenticity",,,,,,
,,"By (date), when selecting what clothes to wear in the morning, (name) will choose appropriate clothing for the day's activities (e.g. professional clothing for an interview, an umbrella for the rain) and will refrain from selecting clothes that are not appropriate (e.g. choosing a jacket in summer, provocative clothing) for (3 out of 3) clothing-choice opportunities.","['9', '10', '11', '12']",Mild,"By (date), given [[ Preteaching | a review ]] of expected dress before a special event (e.g. the start of a new job) by an adult (e.g. family member, teacher, coach), when selecting what clothes to wear in the morning, (name) will choose appropriate clothing for the event, weather or occasion (e.g. choosing a professional jacket and pants for an interview, choosing an umbrella for the rain) and refrain from selecting clothes that are not appropriate (e.g. choosing a jacket in summer, provocative clothing) for (3 out of 3) mornings.",Moderate,"By (date), given (30) [[ Picture Choices | images of individuals ]], (name) will use a [[ Poster Summary | poster with pictures ]] detailing examples of appropriate (e.g. choosing a professional jacket and pants for an interview, choosing an umbrella for the rain) and/or inappropriate dress (e.g. choosing a jacket in summer, provocative clothing) for different occasions, to sort the pictures correctly into the two categories by identifying at least (15) examples and (15) non-examples of appropriate dress for different occasions for (1 out of 1) appropriate dress categorization activities.",Intense,"By (date), given (8) [[ Picture Choices | images of individuals ]] detailing exaggerated examples (e.g. choosing a professional jacket and pants for an interview, choosing an raincoat and umbrella for a monsoon) and non-examples (e.g. choosing a down jacket, hat and mittens in summer, provocative clothing at work) of appropriate dress for different occasions and given teacher verbal prompting (e.g. Does this person look like they need a jacket in the summer time?""), (name) will sort the pictures correctly into the two categories by identifying at least (4) examples and (4) non-examples of appropriate dress for different occasions for (1 out of 1) appropriate dress categorization activities.",,,,,,,[],Transition,"['Daily Living Skills', 'Career Skills']",Selects Appropriate Clothing,Students come to school with a variety of knowledge and experiences. It is important to activate their background knowledge about appropriate dress and preteach needed content or skills necessary to make appropriate decisions through the use of [[Preteaching|preteaching]]. Teachers can review expected behavior or choice-making processes as well as assist students to understand why certain choices are appropriate over other choices. Preteaching is an important review strategy!,UDL I 3.1 Provide Multiple Means of Representation: Activate or supply background knowledge,"Rather than responding to a teacher orally or through writing, a student can communicate by selecting [[ Picture Choices | picture choices ]]. The picture choices can be adapted in how they are created or how they are used. For example, the picture choices can be created by a teacher, by the student, or collaboratively. The images can be made from a variety of media including: pictures from magazines, newspapers, printed from online or hand drawn. A student can identify his/her picture choices by responding in the best mode possible, be it by pointing, orally explaining or through eye gaze.",UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,Teachers can increase relevance by discussing dress code examples related to students' desired careers.,"UDL III 7.2 Provide Multiple Means of Engagement: Optimize relevance, value, and authenticity",,,,,,
,,"By (date), when presented with a familiar, scheduled routine with at least (3) steps at school or in the community (e.g. class beginning or closing routines, the typical daily class agenda, or the bus/train boarding or exiting routine), (name) will follow the procedure by complying with each step in the routine in the correct order for (3 out of 3) routine-following opportunities.","['9', '10', '11', '12']",Mild,"By (date), given an [[ self-monitoring | expected-behavior checklist ]] and presented with a familiar, scheduled routine with at least (3) steps at school or in the community, (e.g. the daily class beginning or closing routines, the typical daily class agenda, or the bus/train boarding or exiting routine), (name) will follow the procedure/routine by complying with each step in the routine, in the correct order for (2 out of 3) routine-following opportunities.",Moderate,"By (date), given a [[ Visual Task Schedule | visual task schedule ]] and a review of a familiar, scheduled routine with at least (3) steps at school or in the community, (e.g. the daily class beginning or closing routines, the typical daily class agenda, or the bus/train boarding or exiting routine), (name) will follow the procedure/routine by complying with each step in the routine, in the correct order for (2 out of 3) routine-following opportunities.",Intense,"By (date), given a [[ Visual Task Schedule | visual task schedule ]] and no more than (1) [[verbal prompting|verbal prompt]] from the teacher for each step (e.g. ""It's the end of the day, please get your back pack ready.""), when presented with a familiar, scheduled routine with at least (3) steps at school or in the community, (e.g. the daily class beginning or closing routines, the typical daily class agenda, or the bus/train boarding or exiting routine), (name) will follow the procedure/routine, for (2 out of 3) routine-following opportunities.",,,,,,,[],Transition,"['Career Skills', 'Daily Living Skills']",Follows School Procedures/Routines,"Teacher prompting is an effective support strategy to support student engagement. Prompts can vary from [[visual cueing|gestures]], to [[verbal prompting|verbal prompting]] and full physical prompting. Verbal prompting can be suggesting/indirect (e.g. asking questions) or direct (e.g. ""Its the end of the day, please get your back pack ready."") Partial physical prompting can be guiding the student by the shoulder or leading a student to a location or item.  Full physical prompting is hand-over-hand support.",UDL III 8.2 Provide Multiple Means of Engagement: Vary demands and resources to optimize challenge,"The use of [[ Visual Task Schedule | visual task schedules ]] for students with moderate and intense level skills allows for the display of information to be individualized and tailored to fit the exact needs of the student. The print material can vary in text size, length, sentence structure, sentence complexity and include visuals or graphics as desired. This support strategy enables students to perform tasks with embedded supports while working towards skill mastery and independence. Additionally, with clear delineated pictures and/or steps to follow, the student is able to refer to the task schedule to see which steps come next. Students can also benefit from checking off which tasks are complete to be able to monitor his or her progress throughout the task.",UDL II 6.4 Provide Multiple Means of Action and Expression: Enhance capacity for monitoring progress,Students may benefit from [[visual cueing|visual]] and [[verbal prompting|auditory]] reminders to comply with expected behaviors and actions. The use of a morning or daily review of the class using an [[ Visual Behavior Poster | expected-behavior poster ]] can be helpful in reminding students to comply with procedures and routines during the school day.,UDL I 1.2 Provide Multiple Means of Representation: Offer alternatives for auditory information,,,,,,
,,"By (date), when presented with a familiar, scheduled routine with at least (3) steps at school or in the community (e.g. class beginning or closing routines, the typical daily class agenda, or the bus/train boarding or exiting routine), (name) will follow the procedure by complying with each step in the routine in the correct order for (3 out of 3) routine-following opportunities.","['9', '10', '11', '12']",Mild,"By (date), given an [[ self-monitoring | expected-behavior checklist ]] and presented with a familiar, scheduled routine with at least (3) steps at school or in the community, (e.g. the daily class beginning or closing routines, the typical daily class agenda, or the bus/train boarding or exiting routine), (name) will follow the procedure/routine by complying with each step in the routine, in the correct order for (2 out of 3) routine-following opportunities.",Moderate,"By (date), given a [[ Visual Task Schedule | visual task schedule ]] and a review of a familiar, scheduled routine with at least (3) steps at school or in the community, (e.g. the daily class beginning or closing routines, the typical daily class agenda, or the bus/train boarding or exiting routine), (name) will follow the procedure/routine by complying with each step in the routine, in the correct order for (2 out of 3) routine-following opportunities.",Intense,"By (date), given a [[ Visual Task Schedule | visual task schedule ]] and no more than (1) [[verbal prompting|verbal prompt]] from the teacher for each step (e.g. ""It's the end of the day, please get your back pack ready.""), when presented with a familiar, scheduled routine with at least (3) steps at school or in the community, (e.g. the daily class beginning or closing routines, the typical daily class agenda, or the bus/train boarding or exiting routine), (name) will follow the procedure/routine, for (2 out of 3) routine-following opportunities.",,,,,,,[],Transition,"['Career Skills', 'Daily Living Skills']",Follows School Procedures/Routines,"Teacher prompting is an effective support strategy to support student engagement. Prompts can vary from [[visual cueing|gestures]], to [[verbal prompting|verbal prompting]] and full physical prompting. Verbal prompting can be suggesting/indirect (e.g. asking questions) or direct (e.g. ""Its the end of the day, please get your back pack ready."") Partial physical prompting can be guiding the student by the shoulder or leading a student to a location or item.  Full physical prompting is hand-over-hand support.",UDL III 8.2 Provide Multiple Means of Engagement: Vary demands and resources to optimize challenge,"The use of [[ Visual Task Schedule | visual task schedules ]] for students with moderate and intense level skills allows for the display of information to be individualized and tailored to fit the exact needs of the student. The print material can vary in text size, length, sentence structure, sentence complexity and include visuals or graphics as desired. This support strategy enables students to perform tasks with embedded supports while working towards skill mastery and independence. Additionally, with clear delineated pictures and/or steps to follow, the student is able to refer to the task schedule to see which steps come next. Students can also benefit from checking off which tasks are complete to be able to monitor his or her progress throughout the task.",UDL II 6.4 Provide Multiple Means of Action and Expression: Enhance capacity for monitoring progress,Students may benefit from [[visual cueing|visual]] and [[verbal prompting|auditory]] reminders to comply with expected behaviors and actions. The use of a morning or daily review of the class using an [[ Visual Behavior Poster | expected-behavior poster ]] can be helpful in reminding students to comply with procedures and routines during the school day.,UDL I 1.2 Provide Multiple Means of Representation: Offer alternatives for auditory information,,,,,,
