assessment_items_images,assessment_items_resources,goal_text,grades,objectives_objective_0_level,objectives_objective_0_text,objectives_objective_1_level,objectives_objective_1_text,objectives_objective_2_level,objectives_objective_2_text,objectives_objective_3_level,objectives_objective_3_text,objectives_objective_4_level,objectives_objective_4_text,objectives_objective_5_level,objectives_objective_5_text,standard_codes,subject,subject_domains,title,udl_adaptations_udl_adaptations_0_text,udl_adaptations_udl_adaptations_0_udl_standard_long_ref,udl_adaptations_udl_adaptations_1_text,udl_adaptations_udl_adaptations_1_udl_standard_long_ref,udl_adaptations_udl_adaptations_2_text,udl_adaptations_udl_adaptations_2_udl_standard_long_ref,udl_adaptations_udl_adaptations_3_text,udl_adaptations_udl_adaptations_3_udl_standard_long_ref,udl_adaptations_udl_adaptations_4_text,udl_adaptations_udl_adaptations_4_udl_standard_long_ref,udl_adaptations_udl_adaptations_5_text,udl_adaptations_udl_adaptations_5_udl_standard_long_ref
,,"By (date), after acquiring new information from grade level argumentative/opinion text, (name) will verbally describe one of the author's main opinions and state (3) of the author's supporting reasons when asked by a teacher in (4 of 5 trials) as measured by (teacher-charted records).","['3', '4', '5']",Mild,"By (date), after acquiring new information from instructional level argumentative/opinion text and given one of the author's main opinions, (name) will verbally state (2) of the author's supporting reasons when provided [[sentence starters|sentence starters]] or [[graphic organizers|graphic organizers]] (4 of 5 trials as measured by teacher-charted records).",Moderate,"By (date), after acquiring information from [[video|video]] that presents an argument/opinion and provided with related [[realia|realia]], (name) will verbally answer (3) yes/no questions when a teacher asks questions about the topic presented in the video (4 of 5 times as measured by teacher-charted records).  For example, ""Yes or no:  Flossing helps your teeth?""",Intense,,,,,,,,"['CCSS.ELA-Literacy.RI.3.8', 'CCSS.ELA-Literacy.RI.4.8', 'CCSS.ELA-Literacy.RI.5.8']",English Learners,"['Speaking', 'Reading']",Verbally Explain Supporting Reasons in Informational Text,"Instead of reading informational text, show students a [[video|video]] where the main points are clearly articulated and reasons are clearly connected to the main points.",UDL I 2.5 Provide Multiple Means of Representation: Illustrate through multiple media,"Instead of students formulating their own sentence structure to state the author's points and reasons, provide students with [[graphic organizers|graphic organizers]] and [[sentence starters|sentence starters]] to help them organize and articulate their thoughts.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"Instead of the teacher explaining concepts related to the text with words or images, provide [[realia|realia]] to help enhance students' knowledge of and interest in the subject.  

For example, if the author gives reasons people get cavities, use a model of a tooth, toothbrushes, floss, and other dental tools based on the author's reasons.","UDL III 7.2 Provide Multiple Means of Engagement: Optimize relevance, value, and authenticity",,,,,,
,,"By (date), after acquiring new information from grade level argumentative/opinion text, (name) will verbally describe one of the author's main opinions and state (3) of the author's supporting reasons when asked by a teacher in (4 of 5 trials) as measured by (teacher-charted records).","['3', '4', '5']",Mild,"By (date), after acquiring new information from instructional level argumentative/opinion text and given one of the author's main opinions, (name) will verbally state (2) of the author's supporting reasons when provided [[sentence starters|sentence starters]] or [[graphic organizers|graphic organizers]] (4 of 5 trials as measured by teacher-charted records).",Moderate,"By (date), after acquiring information from [[video|video]] that presents an argument/opinion and provided with related [[realia|realia]], (name) will verbally answer (3) yes/no questions when a teacher asks questions about the topic presented in the video (4 of 5 times as measured by teacher-charted records).  For example, ""Yes or no:  Flossing helps your teeth?""",Intense,,,,,,,,"['CCSS.ELA-Literacy.RI.3.8', 'CCSS.ELA-Literacy.RI.4.8', 'CCSS.ELA-Literacy.RI.5.8']",English Learners,"['Speaking', 'Reading']",Verbally Explain Supporting Reasons in Informational Text,"Instead of reading informational text, show students a [[video|video]] where the main points are clearly articulated and reasons are clearly connected to the main points.",UDL I 2.5 Provide Multiple Means of Representation: Illustrate through multiple media,"Instead of students formulating their own sentence structure to state the author's points and reasons, provide students with [[graphic organizers|graphic organizers]] and [[sentence starters|sentence starters]] to help them organize and articulate their thoughts.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"Instead of the teacher explaining concepts related to the text with words or images, provide [[realia|realia]] to help enhance students' knowledge of and interest in the subject.  

For example, if the author gives reasons people get cavities, use a model of a tooth, toothbrushes, floss, and other dental tools based on the author's reasons.","UDL III 7.2 Provide Multiple Means of Engagement: Optimize relevance, value, and authenticity",,,,,,
,,"By (date), after the teacher reads a familiar biography at the student's reading level and gives the student two illustrations that each represent a key event in the book, (name) will orally answer a question (e.g., ""Why was [character] doing this?"") about the events in a single sentence that describes the two events using a conjunction (e.g., ""for"", ""an"", ""but"", ""so"", ""nor"", ""or"", ""yet""), on (3) out of (4) questions.",['1'],Mild,"By (date), after the teacher reads a familiar biography at student's reading level and given a question about why the central person made a decision or took an action, (name) will choose one illustration from the text to orally explain an action that the person took and why it happened (i.e., the cause and effect) in one sentence using a conjunction (i.e., because), on (3) out of (4) questions about the book.

Example:
1. Student and teacher read a biography together about Rosa Parks.
2. The teacher points to a picture and asks, ""Why does Rosa Parks stay in her seat?""
3. The student should respond with a complete sentence, ""Rosa Parks stays in her seat [because] she is tired.""",Moderate,"By (date), given a [[ Sentence Starters | sentence frame ]] and two illustrations from two familiar biographies, (name) will orally answer the teacher's question about the similarities or differences between the two different people (e.g., creating compound sentences using and, but, so), on (3) out of (4) questions. 

Example Sentence frame: The __________ (man) is __________ (a soldier), (and, but) the  ____________ (son) is _________ (a teacher).",,,,,,,,,"['CCSS.ELA-Literacy.L.1.6', 'CCSS.ELA-Literacy.L.1.1g']",English Learners,['Speaking'],Combining Clauses in a Variety of Ways,"Before the teacher and the student read the texts together, the teacher can review examples of how to combine sentences from another familiar biography or informational text. (i.e., ""Remember when we read this book? Listen to some examples of how to combine these two ideas from the story."") For the student who needs moderate support, the teacher could provide an example of how to compare two items. (i.e., ""The first character is a woman, and the second character is a man."")","UDL I 3.2 Provide Multiple Means of Representation: Highlight patterns, critical features, big ideas, and relationships","After the teacher asks the student a question, the teacher can supply sentence strips from the biography for the student to choose to combine. The sentence strips can be used to complete a sentence frame with a conjunction already in place.

Example: 
The ____is ____, (but) the ____ is ____.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"If the student seems shy about speaking or answering the question, give the student a choice of biographies, non-fiction texts and illustrations to talk about rather than teacher selected texts. This provides the student with the ability to make more of a connection with self-confidence and pride.",UDL III 7.1 Provide Multiple Means of Engagement: Optimize individual choice and autonomy,,,,,,
,,"By (date), after the teacher reads a familiar biography at the student's reading level and gives the student two illustrations that each represent a key event in the book, (name) will orally answer a question (e.g., ""Why was [character] doing this?"") about the events in a single sentence that describes the two events using a conjunction (e.g., ""for"", ""an"", ""but"", ""so"", ""nor"", ""or"", ""yet""), on (3) out of (4) questions.",['1'],Mild,"By (date), after the teacher reads a familiar biography at student's reading level and given a question about why the central person made a decision or took an action, (name) will choose one illustration from the text to orally explain an action that the person took and why it happened (i.e., the cause and effect) in one sentence using a conjunction (i.e., because), on (3) out of (4) questions about the book.

Example:
1. Student and teacher read a biography together about Rosa Parks.
2. The teacher points to a picture and asks, ""Why does Rosa Parks stay in her seat?""
3. The student should respond with a complete sentence, ""Rosa Parks stays in her seat [because] she is tired.""",Moderate,"By (date), given a [[ Sentence Starters | sentence frame ]] and two illustrations from two familiar biographies, (name) will orally answer the teacher's question about the similarities or differences between the two different people (e.g., creating compound sentences using and, but, so), on (3) out of (4) questions. 

Example Sentence frame: The __________ (man) is __________ (a soldier), (and, but) the  ____________ (son) is _________ (a teacher).",,,,,,,,,"['CCSS.ELA-Literacy.L.1.6', 'CCSS.ELA-Literacy.L.1.1g']",English Learners,['Speaking'],Combining Clauses in a Variety of Ways,"Before the teacher and the student read the texts together, the teacher can review examples of how to combine sentences from another familiar biography or informational text. (i.e., ""Remember when we read this book? Listen to some examples of how to combine these two ideas from the story."") For the student who needs moderate support, the teacher could provide an example of how to compare two items. (i.e., ""The first character is a woman, and the second character is a man."")","UDL I 3.2 Provide Multiple Means of Representation: Highlight patterns, critical features, big ideas, and relationships","After the teacher asks the student a question, the teacher can supply sentence strips from the biography for the student to choose to combine. The sentence strips can be used to complete a sentence frame with a conjunction already in place.

Example: 
The ____is ____, (but) the ____ is ____.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"If the student seems shy about speaking or answering the question, give the student a choice of biographies, non-fiction texts and illustrations to talk about rather than teacher selected texts. This provides the student with the ability to make more of a connection with self-confidence and pride.",UDL III 7.1 Provide Multiple Means of Engagement: Optimize individual choice and autonomy,,,,,,
,,"By (date), after given a partial script of a conversation that ends with an idiomatic phrase (e.g. ""I am sick as a dog""), (name) will use the script to engage in a conversation with a peer and will continue the conversation off-script with dialog that shows understanding of the idiom (e.g. ""Have you taken any medicine?"") for (4 out of 5) conversations.","['9', '10']",Mild,"By (date), after listening to (5) sentences [[ read aloud | read aloud ]] and acted out by a [[ peer buddies | peer ]] in which figurative language is used, such as similes, (name) will complete the sentence orally by filling in the blank  (e.g. ""She is as blind as a ___ (BAT)"" ; ""The man ___ (ROSE) from his seat"") for (4 out of 5) sentences in (4 out of 5) vocabulary exercises.",Moderate,"By (date) after the teacher reads aloud a sentence that contains a homonym (e.g. ""There are [two] books on the shelf ""), (name) will point to the correct homonym from a [[ Multiple Choice | choice ]] of (2) flashcards each which has a picture and the word (e.g. ""TO"" or ""TWO"") for (3 out of 4) sentences in (4 out of 5) vocabulary exercises.

Sample Homonym Sentences:
* There are _____ books on the shelf, ""TO"" or ""TWO""
* You inherit your _____ from your parents, ""GENES"" or JEANS""
* Her skin is very _____, ""PAIL"" or ""PALE""",Intense,,,,,,,,['CCSS.ELA-Literacy.L.9-10.5'],English Learners,['Listening'],Understands Figurative Language and Words with Multiple Meanings,"Students who are acquiring a new language will find it helpful to use [[ picture choices | pictures ]] or videos in order to enhance understanding. In this case, the student will use flashcards that contain the words that he/she will select from. Additionally, if possible the flashcards may have a [[ picture choices | picture ]] that represents the word that he/she needs to select (e.g. Genes, Jeans).",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"When developing a new language, it is important to promote collaborative work amongst [[ peer buddies | peers ]]. Having a student that is more proficient in English [[ read aloud | read aloud ]] the sentences [[ http://englishlinx.com/idioms/Idioms-Meanings-P-1-Advanced.pdf | with idioms ]] to the English Learner, may significantly help build up confidence in his/her ability to respond. Also, it encourages the English Language Learner to make use of the language he/she has already acquired.",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,"The English Language Learner will greatly benefit from acquiring a new language through various modalities. In this case, he/she is listening to sentences being [[ read aloud | read aloud ]] to him/her as well as seeing [[ picture choices | picture choices ]]  or [[ multiple choice | multiple choices ]] to fill in the blanks in the sentences that were being presented.",UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,,,,,,
,,"By (date), after given a partial script of a conversation that ends with an idiomatic phrase (e.g. ""I am sick as a dog""), (name) will use the script to engage in a conversation with a peer and will continue the conversation off-script with dialog that shows understanding of the idiom (e.g. ""Have you taken any medicine?"") for (4 out of 5) conversations.","['9', '10']",Mild,"By (date), after listening to (5) sentences [[ read aloud | read aloud ]] and acted out by a [[ peer buddies | peer ]] in which figurative language is used, such as similes, (name) will complete the sentence orally by filling in the blank  (e.g. ""She is as blind as a ___ (BAT)"" ; ""The man ___ (ROSE) from his seat"") for (4 out of 5) sentences in (4 out of 5) vocabulary exercises.",Moderate,"By (date) after the teacher reads aloud a sentence that contains a homonym (e.g. ""There are [two] books on the shelf ""), (name) will point to the correct homonym from a [[ Multiple Choice | choice ]] of (2) flashcards each which has a picture and the word (e.g. ""TO"" or ""TWO"") for (3 out of 4) sentences in (4 out of 5) vocabulary exercises.

Sample Homonym Sentences:
* There are _____ books on the shelf, ""TO"" or ""TWO""
* You inherit your _____ from your parents, ""GENES"" or JEANS""
* Her skin is very _____, ""PAIL"" or ""PALE""",Intense,,,,,,,,['CCSS.ELA-Literacy.L.9-10.5'],English Learners,['Listening'],Understands Figurative Language and Words with Multiple Meanings,"Students who are acquiring a new language will find it helpful to use [[ picture choices | pictures ]] or videos in order to enhance understanding. In this case, the student will use flashcards that contain the words that he/she will select from. Additionally, if possible the flashcards may have a [[ picture choices | picture ]] that represents the word that he/she needs to select (e.g. Genes, Jeans).",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"When developing a new language, it is important to promote collaborative work amongst [[ peer buddies | peers ]]. Having a student that is more proficient in English [[ read aloud | read aloud ]] the sentences [[ http://englishlinx.com/idioms/Idioms-Meanings-P-1-Advanced.pdf | with idioms ]] to the English Learner, may significantly help build up confidence in his/her ability to respond. Also, it encourages the English Language Learner to make use of the language he/she has already acquired.",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,"The English Language Learner will greatly benefit from acquiring a new language through various modalities. In this case, he/she is listening to sentences being [[ read aloud | read aloud ]] to him/her as well as seeing [[ picture choices | picture choices ]]  or [[ multiple choice | multiple choices ]] to fill in the blanks in the sentences that were being presented.",UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,,,,,,
,,"By (date), provided two written narrative responses to a question (e.g. How is the importance of getting sleep related to academic success?), (name) will write a summary of the two responses that uses (2) sentences with an embedded clause (e.g. ""The writer, newly graduated from UC Santa Cruz, explained her position clearly."") and (2) sentences using nominalization (""The writer's refusal to provide a counter argument lessened her credibility."") for (2 out of 3) sets of responses.","['9', '10', '11', '12']",Mild,"By (date), provided two narrative responses in written and auditory formats (e.g. digital recording) to a question (e.g. How is the importance of getting sleep related to academic success?), and sentence starters related to the topic (e.g. ""The first response ______"" Both responses included information about______""  The second response was different from the first because______""), (name) will write a summary of the two responses that uses (3) sentences with multiple verbs and (2) sentences with an embedded clause (e.g. ""The writer, newly graduated from UC Santa Cruz, explained her position clearly."") for (2 out of 3) sets of responses.",Moderate,"By (date), provided two narrative responses in written and auditory formats (e.g. digital recording) to a question (e.g. How is the importance of getting sleep related to academic success?), (name) will write (1) compound sentence that explains the main idea of each response using linking words (e.g. ""and"", ""but"", ""or"" ""The first author felt sleep was important [but] the second author did not."")  for (2 out of 3) sets of responses.",,,,,,,,,['CCSS.ELA-Literacy.L.9-10.1b'],English Learners,"['Writing', 'Speaking', 'Listening']",Condensing information,"Providing students with pre-made sentence starters to analyze the information given from the question (""How is the importance of getting sleep related to academic success?"") will not only allow access for students with lower language skills, but also for students who have anxiety about initiating work. Sentence starters allow students to synthesize the information even if they struggle to write complete sentences independently.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"In this goal, students are working on learning the difference between a variety of complexity in sentences. For students who are proficient readers but have lower skills in the area of writing, providing a teacher made list of sentences to choose from will allow them to analyze the material by focusing on their language skills. Accommodating students' needs in this way minimizes the threat of this activity and also gets at the core purpose of this goal by starting students off with the simplified task of identifying the sentence with the action word, or verb.",UDL III 7.3 Provide Multiple Means of Engagement: Minimize threats and distractions,Providing students with the written and recorded formats of the responses they are to synthesize allows for students who are stronger in listening or reading to access the material. Allowing them the choice to listen to the information as well as read it is ideal as students will acquire the skills needed to access the information the more they see and hear the information.,UDL I 1.2 Provide Multiple Means of Representation: Offer alternatives for auditory information,,,,,,
,,"By (date), provided two written narrative responses to a question (e.g. How is the importance of getting sleep related to academic success?), (name) will write a summary of the two responses that uses (2) sentences with an embedded clause (e.g. ""The writer, newly graduated from UC Santa Cruz, explained her position clearly."") and (2) sentences using nominalization (""The writer's refusal to provide a counter argument lessened her credibility."") for (2 out of 3) sets of responses.","['9', '10', '11', '12']",Mild,"By (date), provided two narrative responses in written and auditory formats (e.g. digital recording) to a question (e.g. How is the importance of getting sleep related to academic success?), and sentence starters related to the topic (e.g. ""The first response ______"" Both responses included information about______""  The second response was different from the first because______""), (name) will write a summary of the two responses that uses (3) sentences with multiple verbs and (2) sentences with an embedded clause (e.g. ""The writer, newly graduated from UC Santa Cruz, explained her position clearly."") for (2 out of 3) sets of responses.",Moderate,"By (date), provided two narrative responses in written and auditory formats (e.g. digital recording) to a question (e.g. How is the importance of getting sleep related to academic success?), (name) will write (1) compound sentence that explains the main idea of each response using linking words (e.g. ""and"", ""but"", ""or"" ""The first author felt sleep was important [but] the second author did not."")  for (2 out of 3) sets of responses.",,,,,,,,,['CCSS.ELA-Literacy.L.9-10.1b'],English Learners,"['Writing', 'Speaking', 'Listening']",Condensing information,"Providing students with pre-made sentence starters to analyze the information given from the question (""How is the importance of getting sleep related to academic success?"") will not only allow access for students with lower language skills, but also for students who have anxiety about initiating work. Sentence starters allow students to synthesize the information even if they struggle to write complete sentences independently.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"In this goal, students are working on learning the difference between a variety of complexity in sentences. For students who are proficient readers but have lower skills in the area of writing, providing a teacher made list of sentences to choose from will allow them to analyze the material by focusing on their language skills. Accommodating students' needs in this way minimizes the threat of this activity and also gets at the core purpose of this goal by starting students off with the simplified task of identifying the sentence with the action word, or verb.",UDL III 7.3 Provide Multiple Means of Engagement: Minimize threats and distractions,Providing students with the written and recorded formats of the responses they are to synthesize allows for students who are stronger in listening or reading to access the material. Allowing them the choice to listen to the information as well as read it is ideal as students will acquire the skills needed to access the information the more they see and hear the information.,UDL I 1.2 Provide Multiple Means of Representation: Offer alternatives for auditory information,,,,,,
,,"By (date), after viewing a series of (6-8) scenes depicting humorous mistakes (e.g. a student getting up early and racing to get to school on time, only to find out it's Saturday) and clarifying the content of the images in a [[guided peer discussions|class discussion]], (name) will use at least (2) different types of verb tenses to write (1) complex sentence for each image that explains the mistake shown and will check his/her work with a partner by taking turns reading their sentences aloud and making necessary revisions to their writing and speech for (6 out of 8) sentences for (2 out of 3) writing exercises.

Example of a complex sentence:  ""He thought he had to rush to school, but he realized it was Saturday.""","['6', '7', '8']",Mild,"By (date), after viewing a series of (6-8) scenes depicting humorous mistakes (e.g. a student getting up early and racing to get to school on time, only to find out it's Saturday) and clarifying the content of the images in a [[guided peer discussions|class discussion]], (student) will use at least (2) different types of verb tenses to complete (1) teacher-created [[Sentence Starters|sentence frame]] for each image that explains the mistake shown in the picture and will check his/her work with a partner by taking turns reading their sentences aloud and making necessary revisions to their writing and speech for (6 out of 8) sentences for (2 out of 3) writing exercises.",Moderate,"By (date), after viewing a series of (6-8) images depicting common daily tasks (e.g. riding a bike, going to the store, cooking dinner, reading a book, etc.) marked with dates/times in the past, present, and future, and clarifying the content of the images in a [[guided peer discussions|class discussion]] (student) will reference his/her [[Vocabulary Journal|vocabulary journal]] to find at least (2) different types of verb tenses which help him/her write (1) sentence for each image that narrates the task shown in the picture in the appropriate verb tense and will check his/her work with a partner by taking turns reading their sentences aloud and making necessary revisions to their writing and speech for (6 out of 8) sentences for (2 out of 3) writing exercises.",,,,,,,,,"['CCSS.ELA-Literacy.L.6.6', 'CCSS.ELA-Literacy.L.7.6', 'CCSS.ELA-Literacy.L.8.6']",English Learners,"['Writing', 'Speaking']",Conjugating Verbs Across Tenses,"Instead of students relying on memory to determine appropriate verbs and verb tenses, teachers can facilitate the use of [[Vocabulary Journal|vocabulary journals]], in which students keep track of new words and usages. Students may reference these journals during their writing to assist with memory, spelling, meaning, and conjugation, and can add to these journals throughout their lessons when a new word or concept is introduced.","UDL I 3.3 Provide Multiple Means of Representation: Guide information processing, visualization, and manipulation","Instead of students writing sentences independently, which could result in simpler language used than desired, teachers can provide [[Sentence Starters|sentence frames]], which guide students to use more expressive verbs across different tenses. Providing sentence frames also helps focus the students' thinking on the objective (selecting and conjugating verbs) so that students don't get distracted by other vocabulary obstacles.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"Instead of students working in partners to practice reading their sentences, teachers can gather the class for [[Choral Reading|choral reading]] of students' sentences at the end of the activity. This creates incentive for students to complete their work and write high-quality sentences because they'll be shared with the class, and allows for the teacher to monitor students' pronunciation of verbs, serving as a formative assessment of students' speaking skills.",UDL III 9.1 Provide Multiple Means of Engagement: Promote expectations and beliefs that optimize motivation,,,,,,
,,"By (date), after viewing a series of (6-8) scenes depicting humorous mistakes (e.g. a student getting up early and racing to get to school on time, only to find out it's Saturday) and clarifying the content of the images in a [[guided peer discussions|class discussion]], (name) will use at least (2) different types of verb tenses to write (1) complex sentence for each image that explains the mistake shown and will check his/her work with a partner by taking turns reading their sentences aloud and making necessary revisions to their writing and speech for (6 out of 8) sentences for (2 out of 3) writing exercises.

Example of a complex sentence:  ""He thought he had to rush to school, but he realized it was Saturday.""","['6', '7', '8']",Mild,"By (date), after viewing a series of (6-8) scenes depicting humorous mistakes (e.g. a student getting up early and racing to get to school on time, only to find out it's Saturday) and clarifying the content of the images in a [[guided peer discussions|class discussion]], (student) will use at least (2) different types of verb tenses to complete (1) teacher-created [[Sentence Starters|sentence frame]] for each image that explains the mistake shown in the picture and will check his/her work with a partner by taking turns reading their sentences aloud and making necessary revisions to their writing and speech for (6 out of 8) sentences for (2 out of 3) writing exercises.",Moderate,"By (date), after viewing a series of (6-8) images depicting common daily tasks (e.g. riding a bike, going to the store, cooking dinner, reading a book, etc.) marked with dates/times in the past, present, and future, and clarifying the content of the images in a [[guided peer discussions|class discussion]] (student) will reference his/her [[Vocabulary Journal|vocabulary journal]] to find at least (2) different types of verb tenses which help him/her write (1) sentence for each image that narrates the task shown in the picture in the appropriate verb tense and will check his/her work with a partner by taking turns reading their sentences aloud and making necessary revisions to their writing and speech for (6 out of 8) sentences for (2 out of 3) writing exercises.",,,,,,,,,"['CCSS.ELA-Literacy.L.6.6', 'CCSS.ELA-Literacy.L.7.6', 'CCSS.ELA-Literacy.L.8.6']",English Learners,"['Writing', 'Speaking']",Conjugating Verbs Across Tenses,"Instead of students relying on memory to determine appropriate verbs and verb tenses, teachers can facilitate the use of [[Vocabulary Journal|vocabulary journals]], in which students keep track of new words and usages. Students may reference these journals during their writing to assist with memory, spelling, meaning, and conjugation, and can add to these journals throughout their lessons when a new word or concept is introduced.","UDL I 3.3 Provide Multiple Means of Representation: Guide information processing, visualization, and manipulation","Instead of students writing sentences independently, which could result in simpler language used than desired, teachers can provide [[Sentence Starters|sentence frames]], which guide students to use more expressive verbs across different tenses. Providing sentence frames also helps focus the students' thinking on the objective (selecting and conjugating verbs) so that students don't get distracted by other vocabulary obstacles.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"Instead of students working in partners to practice reading their sentences, teachers can gather the class for [[Choral Reading|choral reading]] of students' sentences at the end of the activity. This creates incentive for students to complete their work and write high-quality sentences because they'll be shared with the class, and allows for the teacher to monitor students' pronunciation of verbs, serving as a formative assessment of students' speaking skills.",UDL III 9.1 Provide Multiple Means of Engagement: Promote expectations and beliefs that optimize motivation,,,,,,
