assessment_items_images,assessment_items_resources,goal_text,grades,objectives_objective_0_level,objectives_objective_0_text,objectives_objective_1_level,objectives_objective_1_text,objectives_objective_2_level,objectives_objective_2_text,objectives_objective_3_level,objectives_objective_3_text,objectives_objective_4_level,objectives_objective_4_text,objectives_objective_5_level,objectives_objective_5_text,standard_codes,subject,subject_domains,title,udl_adaptations_udl_adaptations_0_text,udl_adaptations_udl_adaptations_0_udl_standard_long_ref,udl_adaptations_udl_adaptations_1_text,udl_adaptations_udl_adaptations_1_udl_standard_long_ref,udl_adaptations_udl_adaptations_2_text,udl_adaptations_udl_adaptations_2_udl_standard_long_ref,udl_adaptations_udl_adaptations_3_text,udl_adaptations_udl_adaptations_3_udl_standard_long_ref,udl_adaptations_udl_adaptations_4_text,udl_adaptations_udl_adaptations_4_udl_standard_long_ref,udl_adaptations_udl_adaptations_5_text,udl_adaptations_udl_adaptations_5_udl_standard_long_ref
,,"By (date), when ascending and descending stairs, (name) will use alternating feet (i.e. left foot steps on first step, right foot on the next step) for at least (10) steps with no more than (1) incidence of both feet on a single step, during (3 out of 3) stair climbs.",['Pre-K'],Mild,"By (date), when ascending and descending stairs and after a [[ verbal prompting | verbal reminder ]] from the teacher (e.g. “Remember don’t double-up your feet as you climb.”), (name) will use alternating feet (i.e. left foot steps on first step, right foot on the next step) for at least (10) steps with no more than (1) incidence of both feet on a single step, during (3 out of 3) stair climbs.",Moderate,"By (date), when ascending and descending stairs and after a [[ verbal prompting | verbal reminder ]] from the teacher (e.g. “Watch Roberto’s feet and copy what he does.”), (name) will walk behind a [[ peer buddies | classmate ]] to use alternating feet (i.e. left foot steps on first step, right foot on the next step) for at least (10) steps with no more than (1) incidence of both feet on a single step, during (3 out of 3) stair climbs.",Intense,"By (date), when ascending and descending stairs and after a [[ verbal prompting | verbal reminder ]] from the teacher (e.g. “When I tap your leg, step to the next stair with that leg.”), (name) will use [[ graduated guidance | physical prompts ]] from the teacher to use alternating feet (i.e. left foot steps on first step, right foot on the next step) for at least (5) steps with no more than (1) incidence of both feet on a single step, during (2 out of 3) stair climbs.",,,,,,,[],Pre-Kindergarten,['Physical Development and Health'],Alternate Feet on Stairs,"Not all of our youngest students will use alternating feet when climbing stairs with independence. With the support of a teacher’s [[ verbal prompting | verbal prompting ]], many students will be able to perform this skill. The teacher might only need to say “Remember don’t put both feet on the same step.” to remind a student what to do, while other students may require more individualized prompting, such as “Michael, put your left foot on the next step down...now put your right foot all the way to the next step.”.",UDL I 3.1 Provide Multiple Means of Representation: Activate or supply background knowledge,"Since verbal prompts may not be effective for all students who are learning to use alternating feet when climbing stairs, teachers may use [[ graduated guidance | physical prompts ]] to support students. The teacher may stand next to a student, lightly tapping on the knee to indicate which leg steps next, and may also point to the next step, helping to ensure that the student doesn’t place that next leg on the same step as the other. Some students might respond better to a more aggressive prompt, with the teacher holding and moving the leg to the next step. Physical prompts like this might also be used in combination with the student watching a [[ peer buddies | peer ]] or [[ teacher modeling academic task | teacher ]] model the skill.",UDL II 5.3 Provide Multiple Means of Action and Expression: Build fluencies with graduated levels of support for practice and performance,"Since not all students will use stairs with alternating feet with independence, having a student watch as a [[ peer buddies | peer buddy ]] climbs stairs with alternating feet can be an effective support. This can be coupled with a teacher’s [[ verbal prompting | verbal prompt ]], such as “Watch Roberto’s feet and copy what he does.”, so that the student is not just watching the classmate, but has been given explicit instruction of what to do with the visual information he is taking in.",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"By (date), when ascending and descending stairs, (name) will use alternating feet (i.e. left foot steps on first step, right foot on the next step) for at least (10) steps with no more than (1) incidence of both feet on a single step, during (3 out of 3) stair climbs.",['Pre-K'],Mild,"By (date), when ascending and descending stairs and after a [[ verbal prompting | verbal reminder ]] from the teacher (e.g. “Remember don’t double-up your feet as you climb.”), (name) will use alternating feet (i.e. left foot steps on first step, right foot on the next step) for at least (10) steps with no more than (1) incidence of both feet on a single step, during (3 out of 3) stair climbs.",Moderate,"By (date), when ascending and descending stairs and after a [[ verbal prompting | verbal reminder ]] from the teacher (e.g. “Watch Roberto’s feet and copy what he does.”), (name) will walk behind a [[ peer buddies | classmate ]] to use alternating feet (i.e. left foot steps on first step, right foot on the next step) for at least (10) steps with no more than (1) incidence of both feet on a single step, during (3 out of 3) stair climbs.",Intense,"By (date), when ascending and descending stairs and after a [[ verbal prompting | verbal reminder ]] from the teacher (e.g. “When I tap your leg, step to the next stair with that leg.”), (name) will use [[ graduated guidance | physical prompts ]] from the teacher to use alternating feet (i.e. left foot steps on first step, right foot on the next step) for at least (5) steps with no more than (1) incidence of both feet on a single step, during (2 out of 3) stair climbs.",,,,,,,[],Pre-Kindergarten,['Physical Development and Health'],Alternate Feet on Stairs,"Not all of our youngest students will use alternating feet when climbing stairs with independence. With the support of a teacher’s [[ verbal prompting | verbal prompting ]], many students will be able to perform this skill. The teacher might only need to say “Remember don’t put both feet on the same step.” to remind a student what to do, while other students may require more individualized prompting, such as “Michael, put your left foot on the next step down...now put your right foot all the way to the next step.”.",UDL I 3.1 Provide Multiple Means of Representation: Activate or supply background knowledge,"Since verbal prompts may not be effective for all students who are learning to use alternating feet when climbing stairs, teachers may use [[ graduated guidance | physical prompts ]] to support students. The teacher may stand next to a student, lightly tapping on the knee to indicate which leg steps next, and may also point to the next step, helping to ensure that the student doesn’t place that next leg on the same step as the other. Some students might respond better to a more aggressive prompt, with the teacher holding and moving the leg to the next step. Physical prompts like this might also be used in combination with the student watching a [[ peer buddies | peer ]] or [[ teacher modeling academic task | teacher ]] model the skill.",UDL II 5.3 Provide Multiple Means of Action and Expression: Build fluencies with graduated levels of support for practice and performance,"Since not all students will use stairs with alternating feet with independence, having a student watch as a [[ peer buddies | peer buddy ]] climbs stairs with alternating feet can be an effective support. This can be coupled with a teacher’s [[ verbal prompting | verbal prompt ]], such as “Watch Roberto’s feet and copy what he does.”, so that the student is not just watching the classmate, but has been given explicit instruction of what to do with the visual information he is taking in.",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"By (date), when transitioning between classroom, playground, or between activities, (name) will follow the [[ preteaching | established ]] safety rules (e.g. hold hands with an adult when crossing a street, hold the railing when climbing stair, walk with scissors), missing no more than (1) safety rule out of (5) rules, for each of (5 out of 5) transitions.",['Pre-K'],Mild,"By (date), when transitioning between classroom, playground, or between activities, and after a [[ verbal prompting | verbal reminder ]] of the rules from the teacher, (name) will follow the [[ preteaching | established ]] safety rules (e.g. hold hands with an adult when crossing a street, hold the railing when climbing stair, walk with scissors), missing no more than (1) safety rule out of (5) rules, for each of (5 out of 5) transitions.",Moderate,"By (date), when transitioning between classroom, playground, or between activities, and after referring to and singing the class [[ Songs, Raps and Chants | song ]] (posted on a [[ visual behavior poster | behavior poster ]]) about following [[ https://www.youtube.com/watch?v=kii8Nr5UYpc#t=63 | safety rules ]], (name) will follow the [[ preteaching | established ]] safety rules (e.g. hold hands with an adult when crossing a street, hold the railing when climbing stair, walk with scissors), missing no more than (1) safety rule out of (5) rules, for each of (5 out of 5) transitions.",Intense,"By (date), when transitioning between classroom, playground, or between activities, and after singing the class [[ Songs, Raps and Chants | song ]] (posted on a [[ visual behavior poster | behavior poster ]]) about following [[ https://www.youtube.com/watch?v=kii8Nr5UYpc#t=63 | safety rules ]], (name) will hold a [[ visual cue cards | cue card ]] as a reminder to follow the [[ preteaching | established ]] safety rules (e.g. hold hands with an adult when crossing a street, hold the railing when climbing stair, walk with scissors), missing no more than (1) safety rule out of (3) rules, for each of (3 out of 5) transitions.",,,,,,,[],Pre-Kindergarten,['Physical Development and Health'],Follow Safety Rules,"Rather than expect that all of our youngest students will remember and apply the rules of staying safe during classrooms transitions with independence, teachers can support students by giving [[ verbal prompting | verbal reminders ]] of the rules. These rules are established and reviewed multiple times before students are expected to follow them, and for pre-kindergarten students the rules will be reviewed all year long. These verbal reminders may refer students to a behavior chart or poster that was created as a whole-class, the contents of which might be turned into a song.",UDL I 3.1 Provide Multiple Means of Representation: Activate or supply background knowledge,"The rules that we teach and review with our youngest students are best when they are visually anchored by a [[ visual behavior poster | behavior poster ]]. By connecting the verbal rule and a visual representation of the rule, we begin to establish the students’ ability to apply a rule when only referred to the visual rule. After weeks of repetition, a teacher might be able to simply point to a poster of 3 vital rules and receive a group of pre-kindergarten students who quiet themselves, straighten their rows, and face themselves forward in preparation for walking down the hall.",UDL II 6.2 Provide Multiple Means of Action and Expression: Support planning and strategy development,"Some of our youngest students will respond well to carrying a physical reminder of the established rules for making a safe transition. A [[visual cue cards | cue card ]] can be quietly given to any student before a transition is attempted, preemptively supporting their application of the classroom rules. A card can also be given to a student when a problem behavior first emerges--a rather quiet, unobtrusive visual reminder that the student can carry for the duration of the transition. As safe transitional behavior is used with more independence and generalizes to other settings, the card can be phased out of use.",UDL III 8.1 Provide Multiple Means of Engagement: Heighten salience of goals and objectives,,,,,,
,,"By (date), when transitioning between classroom, playground, or between activities, (name) will follow the [[ preteaching | established ]] safety rules (e.g. hold hands with an adult when crossing a street, hold the railing when climbing stair, walk with scissors), missing no more than (1) safety rule out of (5) rules, for each of (5 out of 5) transitions.",['Pre-K'],Mild,"By (date), when transitioning between classroom, playground, or between activities, and after a [[ verbal prompting | verbal reminder ]] of the rules from the teacher, (name) will follow the [[ preteaching | established ]] safety rules (e.g. hold hands with an adult when crossing a street, hold the railing when climbing stair, walk with scissors), missing no more than (1) safety rule out of (5) rules, for each of (5 out of 5) transitions.",Moderate,"By (date), when transitioning between classroom, playground, or between activities, and after referring to and singing the class [[ Songs, Raps and Chants | song ]] (posted on a [[ visual behavior poster | behavior poster ]]) about following [[ https://www.youtube.com/watch?v=kii8Nr5UYpc#t=63 | safety rules ]], (name) will follow the [[ preteaching | established ]] safety rules (e.g. hold hands with an adult when crossing a street, hold the railing when climbing stair, walk with scissors), missing no more than (1) safety rule out of (5) rules, for each of (5 out of 5) transitions.",Intense,"By (date), when transitioning between classroom, playground, or between activities, and after singing the class [[ Songs, Raps and Chants | song ]] (posted on a [[ visual behavior poster | behavior poster ]]) about following [[ https://www.youtube.com/watch?v=kii8Nr5UYpc#t=63 | safety rules ]], (name) will hold a [[ visual cue cards | cue card ]] as a reminder to follow the [[ preteaching | established ]] safety rules (e.g. hold hands with an adult when crossing a street, hold the railing when climbing stair, walk with scissors), missing no more than (1) safety rule out of (3) rules, for each of (3 out of 5) transitions.",,,,,,,[],Pre-Kindergarten,['Physical Development and Health'],Follow Safety Rules,"Rather than expect that all of our youngest students will remember and apply the rules of staying safe during classrooms transitions with independence, teachers can support students by giving [[ verbal prompting | verbal reminders ]] of the rules. These rules are established and reviewed multiple times before students are expected to follow them, and for pre-kindergarten students the rules will be reviewed all year long. These verbal reminders may refer students to a behavior chart or poster that was created as a whole-class, the contents of which might be turned into a song.",UDL I 3.1 Provide Multiple Means of Representation: Activate or supply background knowledge,"The rules that we teach and review with our youngest students are best when they are visually anchored by a [[ visual behavior poster | behavior poster ]]. By connecting the verbal rule and a visual representation of the rule, we begin to establish the students’ ability to apply a rule when only referred to the visual rule. After weeks of repetition, a teacher might be able to simply point to a poster of 3 vital rules and receive a group of pre-kindergarten students who quiet themselves, straighten their rows, and face themselves forward in preparation for walking down the hall.",UDL II 6.2 Provide Multiple Means of Action and Expression: Support planning and strategy development,"Some of our youngest students will respond well to carrying a physical reminder of the established rules for making a safe transition. A [[visual cue cards | cue card ]] can be quietly given to any student before a transition is attempted, preemptively supporting their application of the classroom rules. A card can also be given to a student when a problem behavior first emerges--a rather quiet, unobtrusive visual reminder that the student can carry for the duration of the transition. As safe transitional behavior is used with more independence and generalizes to other settings, the card can be phased out of use.",UDL III 8.1 Provide Multiple Means of Engagement: Heighten salience of goals and objectives,,,,,,
,,"By (date), after listening to (3) spoken words and given [[ Letter/Word Tiles | letter tiles ]], when prompted by the teacher (e.g., ""Listen to this word and make the word that you hear.""), (name) will put together at least (2) tiles for each word and say the words aloud for (3 out of 3) word-composition sessions.",['Pre-K'],Mild,"By (date), after listening to (3) spoken words and given [[ Letter/Word TIles | letter tiles ]], when prompted by the teacher (e.g., ""Listen to this word and make the word that you hear.""), (name) will use [[ Elkonin boxes | elkonin boxes ]] to put together at least (2) tiles for each word and say the words aloud for (3 out of 3) word-composition sessions.",Moderate,"By (date), when participating in a [[ Language-Based Games | game ]] with the teacher or peer and after listening to (3) spoken words, when given [[ Letter/Word TIles | letter tiles ]] and prompted by the teacher (e.g., ""Listen to this word and make the word that you hear.""), (name) will put together at least (2) tiles for each word and say aloud the words for (3 out of 3) word-composition sessions.",Intense,"By (date), after watching the teacher [[ Teacher Modeling Academic Task | model ]] the building of a word with [[ Letter/Word TIles | letter tiles ]] and when prompted by the teacher (e.g., ""Listen to this word and make the word that you hear.""), (name) will will use [[ Elkonin boxes | elkonin boxes ]] to put together at least (2) tiles for 2 words and say aloud the words for (2 out of 3) word-composition sessions.",,,,,,,"['CCSS.ELA-Literacy.RF.K.1', 'CC.ELA-Literacy.K.RF.1']",Pre-Kindergarten,['Communication'],Representing Spoken Words With Letters,"Rather than expecting our youngest students to independently understand that spoken words are represented by a specific sequence of letters and apply that knowledge into the construction of a word, teachers can support this developmental leap by explicitly [[ Teacher Modeling Academic Task | modeling ]] the process of saying a word and blending the sounds of the word into a sequence of letters. The teacher could say a word (e.g., “cat”) and then segment the sounds by [[ https://www.wilsonlanguage.com/WRS_Description.asp | tapping their thumb ]] to the index finger and saying the first sound of the word aloud (“/k/”), then tapping their thumb to the middle finger and saying the second sound of the word aloud (“/a/”), etc., while placing the corresponding tiles in order. For students who are still developing this understanding and skill, it is not most important that they place the correct letter-tiles at this point, but only that they show understanding that the sounds of the word are individually represented by a specific letter.","UDL I 3.3 Provide Multiple Means of Representation: Guide information processing, visualization, and manipulation","Giving students concrete visual supports illustrating that words are represented by a specific sequence of letters or discrete sounds can be a very important step in their process. [[ Elkonin boxes | Elkonin boxes ]] show a box for each distinct sound that is in a word. These can be taught to the whole class, small group, or one-on-one, and then used independently after their use is understood.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"Students that are having difficulty acquiring a literacy skill may benefit from a [[ Language-Based Games | literacy game ]] (e.g., [[ http://www.hasbro.com/scrabble/en_US/shop/details.cfm?R=1552B2BE-19B9-F369-D99A-A9CB056F6EF0:en_US | Scrabble Junior ]]. The use of a game can both teach and reinforce important skills in a fun and non-threatening way. Games alter or remove the teacher-student dynamic, introduce peers in mentoring roles, and let students acquire and practice skills. Games can help students understand that spoken words are represented by written words using a fun and meaningful experience.","UDL III 7.2 Provide Multiple Means of Engagement: Optimize relevance, value, and authenticity",,,,,,
,,"By (date), after listening to (3) spoken words and given [[ Letter/Word Tiles | letter tiles ]], when prompted by the teacher (e.g., ""Listen to this word and make the word that you hear.""), (name) will put together at least (2) tiles for each word and say the words aloud for (3 out of 3) word-composition sessions.",['Pre-K'],Mild,"By (date), after listening to (3) spoken words and given [[ Letter/Word TIles | letter tiles ]], when prompted by the teacher (e.g., ""Listen to this word and make the word that you hear.""), (name) will use [[ Elkonin boxes | elkonin boxes ]] to put together at least (2) tiles for each word and say the words aloud for (3 out of 3) word-composition sessions.",Moderate,"By (date), when participating in a [[ Language-Based Games | game ]] with the teacher or peer and after listening to (3) spoken words, when given [[ Letter/Word TIles | letter tiles ]] and prompted by the teacher (e.g., ""Listen to this word and make the word that you hear.""), (name) will put together at least (2) tiles for each word and say aloud the words for (3 out of 3) word-composition sessions.",Intense,"By (date), after watching the teacher [[ Teacher Modeling Academic Task | model ]] the building of a word with [[ Letter/Word TIles | letter tiles ]] and when prompted by the teacher (e.g., ""Listen to this word and make the word that you hear.""), (name) will will use [[ Elkonin boxes | elkonin boxes ]] to put together at least (2) tiles for 2 words and say aloud the words for (2 out of 3) word-composition sessions.",,,,,,,"['CCSS.ELA-Literacy.RF.K.1', 'CC.ELA-Literacy.K.RF.1']",Pre-Kindergarten,['Communication'],Representing Spoken Words With Letters,"Rather than expecting our youngest students to independently understand that spoken words are represented by a specific sequence of letters and apply that knowledge into the construction of a word, teachers can support this developmental leap by explicitly [[ Teacher Modeling Academic Task | modeling ]] the process of saying a word and blending the sounds of the word into a sequence of letters. The teacher could say a word (e.g., “cat”) and then segment the sounds by [[ https://www.wilsonlanguage.com/WRS_Description.asp | tapping their thumb ]] to the index finger and saying the first sound of the word aloud (“/k/”), then tapping their thumb to the middle finger and saying the second sound of the word aloud (“/a/”), etc., while placing the corresponding tiles in order. For students who are still developing this understanding and skill, it is not most important that they place the correct letter-tiles at this point, but only that they show understanding that the sounds of the word are individually represented by a specific letter.","UDL I 3.3 Provide Multiple Means of Representation: Guide information processing, visualization, and manipulation","Giving students concrete visual supports illustrating that words are represented by a specific sequence of letters or discrete sounds can be a very important step in their process. [[ Elkonin boxes | Elkonin boxes ]] show a box for each distinct sound that is in a word. These can be taught to the whole class, small group, or one-on-one, and then used independently after their use is understood.",UDL II 5.2 Provide Multiple Means of Action and Expression: Use multiple tools for construction and composition,"Students that are having difficulty acquiring a literacy skill may benefit from a [[ Language-Based Games | literacy game ]] (e.g., [[ http://www.hasbro.com/scrabble/en_US/shop/details.cfm?R=1552B2BE-19B9-F369-D99A-A9CB056F6EF0:en_US | Scrabble Junior ]]. The use of a game can both teach and reinforce important skills in a fun and non-threatening way. Games alter or remove the teacher-student dynamic, introduce peers in mentoring roles, and let students acquire and practice skills. Games can help students understand that spoken words are represented by written words using a fun and meaningful experience.","UDL III 7.2 Provide Multiple Means of Engagement: Optimize relevance, value, and authenticity",,,,,,
,,"By (date), during a [[ Read Aloud | read aloud ]]of a story, nursery rhyme, or poem that has [[illustration | illustrations ]] that support the action happening in the story, (name), will correctly restate (3) key details and ask (2) questions that relate to the text, scoring (4 out of 5 or 80% accuracy), for (4 out of 5) trials.",['Pre-K'],Mild,"By (date), during a [[ Read Aloud | read aloud ]] of a story, nursery rhyme, or poem that has [[illustration | illustrations ]] that support the action happening in the story, when given [[ Sentence starters| sentence starters]] (e.g. My favorite part of the story was _____. or I wonder _____. ), (name) will restate (3) key details and ask (2) questions that relate to the text, scoring (4 out of 5 or 80% accuracy), for (4 out of 5) trials.",Moderate,"By (date), during a [[ Read Aloud | read aloud ]] of a story, nursery rhyme, or poem that has [[illustration | illustrations ]] that support the action happening in the story (e.g. a Caldecott Medal winning picture book), (name), when given [[ Sentence starters| sentence starters]], will verbally respond to (3) wh-questions (e.g ""What happened to the dog in the beginning of the story?""), scoring (2 out of 3), for (4 of 5 trials).",Intense,"By (date), after participating in a dramatization of a story (e.g. a puppet show or readers' theatre), when given four [[picture choices | picture cards]] of items that relate to the story,  (name) will select (2) cards and correctly explain what they remind him/her of from the story, for (4 of 5 trials).",,,,,,,"['CCSS.ELA-Literacy.RL.1.1', 'TSG.LI.18,\nTSG.LI.18.a', 'CCSS.ELA-Literacy.RL.K.1', 'CC.ELA-Literacy.K.RL.1']",Pre-Kindergarten,['English Language Arts & Literacy'],Ask and Answer Questions About Details Given in a Text,"Teachers can read a book that has [[ picture choices|pictures or illustrations]] on every page that support the text. Teachers can also make up a story using a picture book with high interest illustrations (e.g. a Caldecott Medal winning picture book). Visuals embedded in text aid comprehension, especially for beginning readers.",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"Instead of students having to verbally respond during a [[ Read Aloud | read aloud ]], teachers can allow a student to select from [[picture choices | picture cards]] that relate to the story. The student should be asked to select two cards that remind him of something from the story. Then, the student will explain his choices. The images will help the student recall events and selecting from four options gives him personal choice.",UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,"Instead of students simply restating the (3) key details and (2) questions for the teacher, students could be rewarded with a sticker or token for each detail remembered. This positive reinforcer can increase attention during group activities and be a strong motivator and self-assessment tool.",UDL III 9.3 Provide Multiple Means of Engagement: Develop self-assessment and reflection,,,,,,
,,"By (date), during a [[ Read Aloud | read aloud ]]of a story, nursery rhyme, or poem that has [[illustration | illustrations ]] that support the action happening in the story, (name), will correctly restate (3) key details and ask (2) questions that relate to the text, scoring (4 out of 5 or 80% accuracy), for (4 out of 5) trials.",['Pre-K'],Mild,"By (date), during a [[ Read Aloud | read aloud ]] of a story, nursery rhyme, or poem that has [[illustration | illustrations ]] that support the action happening in the story, when given [[ Sentence starters| sentence starters]] (e.g. My favorite part of the story was _____. or I wonder _____. ), (name) will restate (3) key details and ask (2) questions that relate to the text, scoring (4 out of 5 or 80% accuracy), for (4 out of 5) trials.",Moderate,"By (date), during a [[ Read Aloud | read aloud ]] of a story, nursery rhyme, or poem that has [[illustration | illustrations ]] that support the action happening in the story (e.g. a Caldecott Medal winning picture book), (name), when given [[ Sentence starters| sentence starters]], will verbally respond to (3) wh-questions (e.g ""What happened to the dog in the beginning of the story?""), scoring (2 out of 3), for (4 of 5 trials).",Intense,"By (date), after participating in a dramatization of a story (e.g. a puppet show or readers' theatre), when given four [[picture choices | picture cards]] of items that relate to the story,  (name) will select (2) cards and correctly explain what they remind him/her of from the story, for (4 of 5 trials).",,,,,,,"['CCSS.ELA-Literacy.RL.1.1', 'TSG.LI.18,\nTSG.LI.18.a', 'CCSS.ELA-Literacy.RL.K.1', 'CC.ELA-Literacy.K.RL.1']",Pre-Kindergarten,['English Language Arts & Literacy'],Ask and Answer Questions About Details Given in a Text,"Teachers can read a book that has [[ picture choices|pictures or illustrations]] on every page that support the text. Teachers can also make up a story using a picture book with high interest illustrations (e.g. a Caldecott Medal winning picture book). Visuals embedded in text aid comprehension, especially for beginning readers.",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"Instead of students having to verbally respond during a [[ Read Aloud | read aloud ]], teachers can allow a student to select from [[picture choices | picture cards]] that relate to the story. The student should be asked to select two cards that remind him of something from the story. Then, the student will explain his choices. The images will help the student recall events and selecting from four options gives him personal choice.",UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,"Instead of students simply restating the (3) key details and (2) questions for the teacher, students could be rewarded with a sticker or token for each detail remembered. This positive reinforcer can increase attention during group activities and be a strong motivator and self-assessment tool.",UDL III 9.3 Provide Multiple Means of Engagement: Develop self-assessment and reflection,,,,,,
,,"By (date), after participating in a [[Read Aloud | read aloud]] of a familiar story, nursery rhyme, or poem, when asked to explain what happened at the beginning, middle, and end, (name) will retell the story, including (3) key details, for (4 out of 5) consecutive trials, as measured by the teacher.",['Pre-K'],Mild,"By (date), after participating in a [[Read Aloud | read aloud]] of a familiar story, nursery rhyme, or poem, (name) will retell the story, using [[ Sentence starters| sentence starters]] that structure the response into chronological sections (e.g. First, _____; Then, _____; Later, _____ or At the beginning of the story, _____; During the middle of the story, _____; At the end of the story, _____), including (3) key details, for (4 out of 5) consecutive trials, as measured by the teacher.",Moderate,"By (date), after participating in a [[Read Aloud | read aloud]] of a familiar, [[illustration| illustrated]] story, nursery rhyme, or poem, in a small group of (2 - 3) preferred peers, (name) will retell the story, using the illustrations from the text as reminders, for (4 out of 5) consecutive trials, as measured by the teacher.",Intense,"By (date), after participating in a [[Read Aloud | read aloud]] of a familiar, [[illustration| illustrated]] story, nursery rhyme, or poem, in a small group of (2 - 3) preferred peers, (name) will state one thing that happened in the story, using the illustrations from the text as reminders, for (4 out of 5) consecutive trials, as measured by the teacher.",,,,,,,"['CCSS.ELA-Literacy.RL.K.2', 'TSG.LI.18,\nTSG.LI.18.c', 'CC.ELA-Literacy.K.RL.2']",Pre-Kindergarten,['English Language Arts & Literacy'],Retelling Familiar Stories,Teachers can allow students to hold the read aloud book and use the [[illustration| illustrations]] to guide them as they retell the story. They should be instructed or guided to sequentially move through the pages and use the images to help them remember the events they heard during the read aloud.,"UDL I 3.3 Provide Multiple Means of Representation: Guide information processing, visualization, and manipulation","[[sentence starters| Sentence stems]] help students organize all of the details they recall from the book and state their answers in a coherent, chronological way. The sentence stems also allow students to practice speaking with transitional phrases that help them clearly communicate.  For students at prekindergarten level who are still developing as readers, [[ Visual Aids | picture symbols ]] can accompany the text of the sentence starters.",UDL II 5.3 Provide Multiple Means of Action and Expression: Build fluencies with graduated levels of support for practice and performance,"Instead of students completing this activity with the entire class, they can participate in a [[read aloud| read aloud]] with (2 - 3) preferred peers. This flexible grouping can limit distractions; allow for more individualized support from the teacher; and reduce discomfort that comes from answering in front of a large audience.",UDL III 7.3 Provide Multiple Means of Engagement: Minimize threats and distractions,,,,,,
,,"By (date), after participating in a [[Read Aloud | read aloud]] of a familiar story, nursery rhyme, or poem, when asked to explain what happened at the beginning, middle, and end, (name) will retell the story, including (3) key details, for (4 out of 5) consecutive trials, as measured by the teacher.",['Pre-K'],Mild,"By (date), after participating in a [[Read Aloud | read aloud]] of a familiar story, nursery rhyme, or poem, (name) will retell the story, using [[ Sentence starters| sentence starters]] that structure the response into chronological sections (e.g. First, _____; Then, _____; Later, _____ or At the beginning of the story, _____; During the middle of the story, _____; At the end of the story, _____), including (3) key details, for (4 out of 5) consecutive trials, as measured by the teacher.",Moderate,"By (date), after participating in a [[Read Aloud | read aloud]] of a familiar, [[illustration| illustrated]] story, nursery rhyme, or poem, in a small group of (2 - 3) preferred peers, (name) will retell the story, using the illustrations from the text as reminders, for (4 out of 5) consecutive trials, as measured by the teacher.",Intense,"By (date), after participating in a [[Read Aloud | read aloud]] of a familiar, [[illustration| illustrated]] story, nursery rhyme, or poem, in a small group of (2 - 3) preferred peers, (name) will state one thing that happened in the story, using the illustrations from the text as reminders, for (4 out of 5) consecutive trials, as measured by the teacher.",,,,,,,"['CCSS.ELA-Literacy.RL.K.2', 'TSG.LI.18,\nTSG.LI.18.c', 'CC.ELA-Literacy.K.RL.2']",Pre-Kindergarten,['English Language Arts & Literacy'],Retelling Familiar Stories,Teachers can allow students to hold the read aloud book and use the [[illustration| illustrations]] to guide them as they retell the story. They should be instructed or guided to sequentially move through the pages and use the images to help them remember the events they heard during the read aloud.,"UDL I 3.3 Provide Multiple Means of Representation: Guide information processing, visualization, and manipulation","[[sentence starters| Sentence stems]] help students organize all of the details they recall from the book and state their answers in a coherent, chronological way. The sentence stems also allow students to practice speaking with transitional phrases that help them clearly communicate.  For students at prekindergarten level who are still developing as readers, [[ Visual Aids | picture symbols ]] can accompany the text of the sentence starters.",UDL II 5.3 Provide Multiple Means of Action and Expression: Build fluencies with graduated levels of support for practice and performance,"Instead of students completing this activity with the entire class, they can participate in a [[read aloud| read aloud]] with (2 - 3) preferred peers. This flexible grouping can limit distractions; allow for more individualized support from the teacher; and reduce discomfort that comes from answering in front of a large audience.",UDL III 7.3 Provide Multiple Means of Engagement: Minimize threats and distractions,,,,,,
