assessment_items_images,assessment_items_resources,goal_text,grades,objectives_objective_0_level,objectives_objective_0_text,objectives_objective_1_level,objectives_objective_1_text,objectives_objective_2_level,objectives_objective_2_text,objectives_objective_3_level,objectives_objective_3_text,objectives_objective_4_level,objectives_objective_4_text,objectives_objective_5_level,objectives_objective_5_text,standard_codes,subject,subject_domains,title,udl_adaptations_udl_adaptations_0_text,udl_adaptations_udl_adaptations_0_udl_standard_long_ref,udl_adaptations_udl_adaptations_1_text,udl_adaptations_udl_adaptations_1_udl_standard_long_ref,udl_adaptations_udl_adaptations_2_text,udl_adaptations_udl_adaptations_2_udl_standard_long_ref,udl_adaptations_udl_adaptations_3_text,udl_adaptations_udl_adaptations_3_udl_standard_long_ref,udl_adaptations_udl_adaptations_4_text,udl_adaptations_udl_adaptations_4_udl_standard_long_ref,udl_adaptations_udl_adaptations_5_text,udl_adaptations_udl_adaptations_5_udl_standard_long_ref
,,"By (date), after independently reading a grade level narrative text, (name) will identify the point of view of at least (2) different characters, choose one point of view to represent in a [[Oral Presentation|debate]] about an issue presented in the text, and will defend that point of view by citing at least (2) supporting examples from the text in (4 out of 5) passages.",['7'],Mild,"By (date), after reading a grade level narrative text with a [[Partner Reading|partner]], (name) will identify the point of view of at least (2) different characters, choose one point of view to represent in a [[Oral Presentation|debate]] about an issue presented in the text, and use a [[Graphic Organizers| graphic organizer]] to identify at least (2) supporting examples from the text to defend that point of view in (4 out of 5) passages.",Moderate,"By (date), after reading a narrative text at his/her [[modified text|instructional level]] and given a partially completed [[Graphic Organizers| graphic organizer]] identifying the point of view of (1) character, (name) will cite at least (2) supporting examples from the text to defend that point of view in a [[Oral Presentation|debate]] about an issue presented in the text (4 out of 5) passages.",Intense,"By (date), after listening to an [[Adapted Text| adapted narrative text]] and given [[Picture Choices|picture choices]], (name) will identify two main characters and categorize pictures that relate to each character’s point of view, and then summarize by presenting a [[Poster Summary|chart]] in (4 out of 5) passages.",,,,,,,['CCSS.ELA-Literacy.RL.7.6'],Reading,['Comprehension: Literature'],Compare and Contrast Points of View,"Instead of the student reading information about the topic independently, the student can read aloud with a [[Peer Buddies|peer buddy]], listen to [[Adapted Text| text on tape]] or via text to speech software or read information at the 
student’s [[Modified Text| instructional level]].",UDL I 1.1 Provide Multiple Means of Representation: Offer ways of customizing the display of information,"Instead of the student being limited in methods for response, a variety of options can be made available to the student to demonstrate what he or she knows. Students can make [[Poster Summary|poster summaries]], read [[Alternate Text|alternate text]], draw an [[Illustration|illustration]] or create a [[Role Play and Dramatization|role play]] or [[Video|video]].",UDL II 5.1 Provide Multiple Means of Action and Expression: Use multiple media for communication,"Instead of working independently on all parts of the assignment, the student can read the text and brainstorm topic ideas with a [[Partner Reading|partner]] or [[Peer Buddies|buddy]], participate in class-wide [[Interactive Notetaking|interactive note-taking]] during the reading so that [[Open Notes|open notes]] can be used during writing, and could also be paired with a [[Peer Editing|peer editor]] to talk to during the writing process. Students can also support one another in the development of an [[Oral Presentation|oral presentation or debate]].",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"By (date), after independently reading a grade level narrative text, (name) will identify the point of view of at least (2) different characters, choose one point of view to represent in a [[Oral Presentation|debate]] about an issue presented in the text, and will defend that point of view by citing at least (2) supporting examples from the text in (4 out of 5) passages.",['7'],Mild,"By (date), after reading a grade level narrative text with a [[Partner Reading|partner]], (name) will identify the point of view of at least (2) different characters, choose one point of view to represent in a [[Oral Presentation|debate]] about an issue presented in the text, and use a [[Graphic Organizers| graphic organizer]] to identify at least (2) supporting examples from the text to defend that point of view in (4 out of 5) passages.",Moderate,"By (date), after reading a narrative text at his/her [[modified text|instructional level]] and given a partially completed [[Graphic Organizers| graphic organizer]] identifying the point of view of (1) character, (name) will cite at least (2) supporting examples from the text to defend that point of view in a [[Oral Presentation|debate]] about an issue presented in the text (4 out of 5) passages.",Intense,"By (date), after listening to an [[Adapted Text| adapted narrative text]] and given [[Picture Choices|picture choices]], (name) will identify two main characters and categorize pictures that relate to each character’s point of view, and then summarize by presenting a [[Poster Summary|chart]] in (4 out of 5) passages.",,,,,,,['CCSS.ELA-Literacy.RL.7.6'],Reading,['Comprehension: Literature'],Compare and Contrast Points of View,"Instead of the student reading information about the topic independently, the student can read aloud with a [[Peer Buddies|peer buddy]], listen to [[Adapted Text| text on tape]] or via text to speech software or read information at the 
student’s [[Modified Text| instructional level]].",UDL I 1.1 Provide Multiple Means of Representation: Offer ways of customizing the display of information,"Instead of the student being limited in methods for response, a variety of options can be made available to the student to demonstrate what he or she knows. Students can make [[Poster Summary|poster summaries]], read [[Alternate Text|alternate text]], draw an [[Illustration|illustration]] or create a [[Role Play and Dramatization|role play]] or [[Video|video]].",UDL II 5.1 Provide Multiple Means of Action and Expression: Use multiple media for communication,"Instead of working independently on all parts of the assignment, the student can read the text and brainstorm topic ideas with a [[Partner Reading|partner]] or [[Peer Buddies|buddy]], participate in class-wide [[Interactive Notetaking|interactive note-taking]] during the reading so that [[Open Notes|open notes]] can be used during writing, and could also be paired with a [[Peer Editing|peer editor]] to talk to during the writing process. Students can also support one another in the development of an [[Oral Presentation|oral presentation or debate]].",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"By (date), after independently reading a grade level persuasive text (e.g., letter to the editor, argument essay), (name) will write a (5) paragraph essay that identifies the author’s point of view and gives at least (2) examples of how rhetorical devices s/he uses supports that point of view (e.g., rhetorical questions, hyperbole, parallel structure, repetition) in (4 out of 5) passages.","['9', '10']",Mild,"By (date), after reading [[Read Aloud|aloud]] a grade level persuasive text (e.g., letter to the editor, argument essay), (name) will [[cooperative learning|collaboratively]] write at least (5) paragraphs that identify the author’s point of view and give at least (2) examples of how rhetorical devices s/he uses support that point of view (e.g., rhetorical questions, hyperbole, parallel structure, repetition) in (4 out of 5) passages.",Moderate,"By (date), after independently reading a persuasive text (e.g., letter to the editor, argument essay) at his/her [[modified text|instructional level]], (name) will use a [[Graphic Organizers|graphic organizer]] to write a (5-7) sentence paragraph with a [[Peer Buddies|peer buddy]] that identifies the author’s point of view and gives at least (2) examples of how rhetorical devices s/he uses supports that point of view (e.g., rhetorical questions, hyperbole, parallel structure, repetition) in (4 out of 5) passages.",Intense,"By (date), after [[preteaching|preteaching]] about rhetorical devices, when given an [[Alternate Text| alternate]] persuasive text (e.g., letter to the editor, argument essay) that utilizes rhetorical questioning, (name) will identify the rhetorical questions in the text (by pointing, [[highlighting|highlighting]], using an assistive communication device, etc.) in (4 out of 5) trials.",,,,,,,['CCSS.ELA-Literacy.RI.9-10.6'],Reading,['Comprehension: Informational Text'],Analyze Impact of Rhetorical Devices on Point of View,"Instead of the student reading text in written form, alternatives such as [[Read Aloud|read alouds]] and [[Picture Walk|picture walks]] allow students to access content through audio, visual and kinesthetic means.",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"Instead of the student organizing and managing information on their own about what they have read, the student can have organizational supports like a [[Graphic Organizers|graphic organizer]] and [[Open Notes|open notes]] to help him/her organize information so that he/she can stay organized from start to finish as he/she completes the writing assignment.",UDL II 6.3 Provide Multiple Means of Action and Expression: Facilitate managing information and resources,"Instead of working independently on all parts of the assignment, the student can read the text and brainstorm topic ideas with a [[Partner Reading|partner]] or [[Peer Buddies|buddy]], participate in class-wide [[Interactive Notetaking|interactive note-taking]] or [[Reader's Theater|Reader's Theater]] during the reading so that [[Open Notes|open notes]] can be used during writing, and could also be paired with a [[Peer Editing|peer editor]] to talk to during the writing process. Students can also support one another in the development of an [[Oral Presentation|oral presentation or debate]].",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"By (date), after independently reading a grade level persuasive text (e.g., letter to the editor, argument essay), (name) will write a (5) paragraph essay that identifies the author’s point of view and gives at least (2) examples of how rhetorical devices s/he uses supports that point of view (e.g., rhetorical questions, hyperbole, parallel structure, repetition) in (4 out of 5) passages.","['9', '10']",Mild,"By (date), after reading [[Read Aloud|aloud]] a grade level persuasive text (e.g., letter to the editor, argument essay), (name) will [[cooperative learning|collaboratively]] write at least (5) paragraphs that identify the author’s point of view and give at least (2) examples of how rhetorical devices s/he uses support that point of view (e.g., rhetorical questions, hyperbole, parallel structure, repetition) in (4 out of 5) passages.",Moderate,"By (date), after independently reading a persuasive text (e.g., letter to the editor, argument essay) at his/her [[modified text|instructional level]], (name) will use a [[Graphic Organizers|graphic organizer]] to write a (5-7) sentence paragraph with a [[Peer Buddies|peer buddy]] that identifies the author’s point of view and gives at least (2) examples of how rhetorical devices s/he uses supports that point of view (e.g., rhetorical questions, hyperbole, parallel structure, repetition) in (4 out of 5) passages.",Intense,"By (date), after [[preteaching|preteaching]] about rhetorical devices, when given an [[Alternate Text| alternate]] persuasive text (e.g., letter to the editor, argument essay) that utilizes rhetorical questioning, (name) will identify the rhetorical questions in the text (by pointing, [[highlighting|highlighting]], using an assistive communication device, etc.) in (4 out of 5) trials.",,,,,,,['CCSS.ELA-Literacy.RI.9-10.6'],Reading,['Comprehension: Informational Text'],Analyze Impact of Rhetorical Devices on Point of View,"Instead of the student reading text in written form, alternatives such as [[Read Aloud|read alouds]] and [[Picture Walk|picture walks]] allow students to access content through audio, visual and kinesthetic means.",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"Instead of the student organizing and managing information on their own about what they have read, the student can have organizational supports like a [[Graphic Organizers|graphic organizer]] and [[Open Notes|open notes]] to help him/her organize information so that he/she can stay organized from start to finish as he/she completes the writing assignment.",UDL II 6.3 Provide Multiple Means of Action and Expression: Facilitate managing information and resources,"Instead of working independently on all parts of the assignment, the student can read the text and brainstorm topic ideas with a [[Partner Reading|partner]] or [[Peer Buddies|buddy]], participate in class-wide [[Interactive Notetaking|interactive note-taking]] or [[Reader's Theater|Reader's Theater]] during the reading so that [[Open Notes|open notes]] can be used during writing, and could also be paired with a [[Peer Editing|peer editor]] to talk to during the writing process. Students can also support one another in the development of an [[Oral Presentation|oral presentation or debate]].",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"By (date), after reading a grade-level, nonfiction text, when [[ verbal prompting | verbally prompted ]] by the teacher (e.g. Teacher says  “Tell about something important that you learned from the text.”), (name) will verbally respond with (1) question or statement about the text (e.g. Student asks “I was wondering how bears know when to wake up from hibernation?”) during (3 out of 3) text discussions.",['1'],Mild,"By (date), after reading a [[ familiar text | familiar ]], instructional-level, nonfiction text, when [[ verbal prompting | verbally prompted ]] by the teacher (e.g. Teacher says “Tell about something important that we learned from the text.”), (name) will verbally respond with (1) question or statement about the text (e.g. Student asks “I was wondering how bears know when to wake up from hibernation?”)  during (3 out of 3) text discussions.",Moderate,"By (date), after a [[ read aloud | read aloud ]] of an instructional-level nonfiction text, when [[ verbal prompting | verbally prompted ]] by the teacher (e.g. Teacher says “Tell about something important that we learned from the text.”), (name) will use [[ Picture Choices | picture choices ]] to verbally respond with (1) question or statement about the story (e.g. Student asks “I was wondering how bears know when to wake up from hibernation?”) during (3 out of 3) text discussions.",Intense,"By (date), when participating in a [[Reader's Theater|reader’s theater]] performance of an instructional-level text on a [[preferred topic or text|preferred nonfiction topic]], (name) will perform the role of a character or narrator of the text by verbally providing at least (1) detail about the text during (2 out of 3) performances.",,,,,,,['CCSS.ELA-Literacy.RI.1.1'],Reading,['Comprehension: Informational Text'],Answer Questions about Details in a Text,"Some students will have difficulty talking about details from a new text that has recently been read aloud. Reading a [[ familiar text | familiar or well-known ]] book can support many students in learning to talk about books, particularly helping them remember and be ready to discuss details from the story. By removing the newness of a text, teachers can allow students to focus on learning the skills of discussion, rather than remembering the details of the text. For example, if a student has heard the same read-aloud about a text on starfish three times, they are more prepared to recall and share information that was learned from the text.","UDL I 2.3 Provide Multiple Means of Representation: Support decoding text, mathematical notation, and symbols","For some students, choosing from a narrow selection of illustrated [[ picture choices | picture choices ]] portraying scenes from a text can support their ability to discuss details about a text. Rather than receiving just a [[verbal prompting|verbal prompt]] to talk about a text, a student can look at and choose from two or three pictures, which can help to activate his/her memory and provide clues to use for discussion. The pictures help to activate memory, while the narrow selection helps to minimize the student from becoming overwhelmed with decision. The teacher could simply have two pages from a book marked, and flip from mark to mark--”Would you like to talk about what was presented on this page, or (turning page) this page?”.",UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,"Watching or participating in an informal [[Reader's Theater| production ]] of a nonfiction text can support many students as they learn to discuss text and use details in their talk. Rather than only ask a student to recall and talk about the details from a book that has been read aloud, a teacher may involve the student as actor in recreating the book. Without being prompted to “talk” about the details, a student might recall and apply many details from the book in performance, without even realizing that they are being assessed. In time, the student can be clued in to her facility with details in performance, and could be transitioned into a more traditional method of “talking” about text. For example, after a few times of performing with classmates as characters from a favorite book, the teacher might say “Katherine, do you know that when you perform as the horse and talk about how your hooves protect your feet, you are sharing great information that we learn from the book?”.",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"By (date), after reading a grade-level, nonfiction text, when [[ verbal prompting | verbally prompted ]] by the teacher (e.g. Teacher says  “Tell about something important that you learned from the text.”), (name) will verbally respond with (1) question or statement about the text (e.g. Student asks “I was wondering how bears know when to wake up from hibernation?”) during (3 out of 3) text discussions.",['1'],Mild,"By (date), after reading a [[ familiar text | familiar ]], instructional-level, nonfiction text, when [[ verbal prompting | verbally prompted ]] by the teacher (e.g. Teacher says “Tell about something important that we learned from the text.”), (name) will verbally respond with (1) question or statement about the text (e.g. Student asks “I was wondering how bears know when to wake up from hibernation?”)  during (3 out of 3) text discussions.",Moderate,"By (date), after a [[ read aloud | read aloud ]] of an instructional-level nonfiction text, when [[ verbal prompting | verbally prompted ]] by the teacher (e.g. Teacher says “Tell about something important that we learned from the text.”), (name) will use [[ Picture Choices | picture choices ]] to verbally respond with (1) question or statement about the story (e.g. Student asks “I was wondering how bears know when to wake up from hibernation?”) during (3 out of 3) text discussions.",Intense,"By (date), when participating in a [[Reader's Theater|reader’s theater]] performance of an instructional-level text on a [[preferred topic or text|preferred nonfiction topic]], (name) will perform the role of a character or narrator of the text by verbally providing at least (1) detail about the text during (2 out of 3) performances.",,,,,,,['CCSS.ELA-Literacy.RI.1.1'],Reading,['Comprehension: Informational Text'],Answer Questions about Details in a Text,"Some students will have difficulty talking about details from a new text that has recently been read aloud. Reading a [[ familiar text | familiar or well-known ]] book can support many students in learning to talk about books, particularly helping them remember and be ready to discuss details from the story. By removing the newness of a text, teachers can allow students to focus on learning the skills of discussion, rather than remembering the details of the text. For example, if a student has heard the same read-aloud about a text on starfish three times, they are more prepared to recall and share information that was learned from the text.","UDL I 2.3 Provide Multiple Means of Representation: Support decoding text, mathematical notation, and symbols","For some students, choosing from a narrow selection of illustrated [[ picture choices | picture choices ]] portraying scenes from a text can support their ability to discuss details about a text. Rather than receiving just a [[verbal prompting|verbal prompt]] to talk about a text, a student can look at and choose from two or three pictures, which can help to activate his/her memory and provide clues to use for discussion. The pictures help to activate memory, while the narrow selection helps to minimize the student from becoming overwhelmed with decision. The teacher could simply have two pages from a book marked, and flip from mark to mark--”Would you like to talk about what was presented on this page, or (turning page) this page?”.",UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,"Watching or participating in an informal [[Reader's Theater| production ]] of a nonfiction text can support many students as they learn to discuss text and use details in their talk. Rather than only ask a student to recall and talk about the details from a book that has been read aloud, a teacher may involve the student as actor in recreating the book. Without being prompted to “talk” about the details, a student might recall and apply many details from the book in performance, without even realizing that they are being assessed. In time, the student can be clued in to her facility with details in performance, and could be transitioned into a more traditional method of “talking” about text. For example, after a few times of performing with classmates as characters from a favorite book, the teacher might say “Katherine, do you know that when you perform as the horse and talk about how your hooves protect your feet, you are sharing great information that we learn from the book?”.",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"By (date), when given a (grade-level) informational text and provided with an [[ exemplar | exemplar ]] of a similar text, (name) will write a (5) paragraph essay that states the author's purpose and evaluates the use of rhetorical devices (e.g. Student writes ""The author supported his purpose when he compared X's love for Y to the story of Romeo and Juliet"") to support his/her purpose, giving at least (3) pieces of supporting evidence from the text, for (4 out of 5) texts, as measured by a (teacher-created rubric or assessment).

Examples of Rhetorical Devices: analogies, hyperbole, allusion","['9', '10']",Mild,"By (date), when given an [[ modified assignment | instructional-level ]] informational text and an [[ exemplar | exemplar ]], (name) will write a (5) paragraph essay that states the author's purpose and evaluates the use of rhetorical devices (e.g. Student writes ""The author supported his purpose when he compared X's love for Y to the story of Romeo and Juliet"") to support (his/her) purpose, giving at least (3) pieces of supporting evidence from the text, (4 out of 5) texts, as measured by a (teacher-created rubric or assessment).",Moderate,"By (date), when given an [[ modified assignment | instructional-level ]] informational text and an [[ exemplar | exemplar ]], (name) will use a [[ graphic organizers | graphic organizer ]] to write a (5) paragraph essay that states the author's purpose and evaluates the use of rhetorical devices (e.g. Student writes ""The author supported his purpose when he compared X's love for Y to the story of Romeo and Juliet"") to support (his/her) purpose, giving at least (3) pieces of supporting evidence from the text, (4 out of 5) texts, as measured by a (teacher-created rubric or assessment).

[[http://www.dailyteachingtools.com/free-graphic-organizers-w.html|Examples of Graphic Organizers for Writing]]",Intense,"By (date), after a [[ read aloud | teacher read aloud ]] of an [[ modified assignment | instructional-level ]] [[preferred topic or text|preferred informational text]], (name) will use [[ sentence starters | sentence frames ]] (e.g., Teacher writes ""The author wrote this story to..."") and [[ teacher modeling academic task | teacher support ]] (e.g. Teacher models how to analyze a reading passage but using a previously read book) to write a single-paragraph essay that states the central idea, (1) supporting piece of evidence, and if the text is a summary or a critique of a topic, (4 out of 5) texts, as measured by a (teacher-created rubric or assessment).",,,,,,,['CCSS.ELA-Literacy.RI.9-10.6'],Reading,['Comprehension: Informational Text'],Analyze An Author's Purpose,"Rather than expect all students to independently read all texts, the teacher may support some students by [[ read aloud | reading aloud ]] the text that will be analyzed. By doing so, teachers allow and support the students to work with texts that may be too difficult for decoding and/or independent reading, but that are entirely suitable for comprehension, discussion, and analysis. A student may be asked to follow along with the read aloud of a text, or could work one-on-one with the teacher with the text, supporting reading skills independent of discussion and analytical skills.",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"While capable of comprehending and orally analyzing a text, some students present with difficulties organizing their thoughts in writing. Supporting students with a [[ graphic organizers | graphic organizer ]] can offer them a written, visual scaffold that concretely organizes their ideas. This organizer can take many forms, depending on the needs of the individual student. In this instance, the concept of summary vs critique could be explicitly written on the organizer, perhaps with [[ sentence starters | sentence starters ]] to support the language of comparisons.",UDL II 6.3 Provide Multiple Means of Action and Expression: Facilitate managing information and resources,"Because not all students read on grade level nor are able to consume the same length of text, teachers can support students by offering a [[ modified assignment | modified assignment ]]. Here, a student may be provided with a text to analyze that is at her instructional reading level, rather than grade-level, or may be asked to write an analysis that is of shorter length than some peers. Alternately, the text for analysis might not be altered, but may simply be abridged. Providing all students with text that they can consume with independence goes a long way in bolstering confidence and facility with the task of analyzing, rather than struggling with the consumption of text.",UDL III 8.2 Provide Multiple Means of Engagement: Vary demands and resources to optimize challenge,,,,,,
,,"By (date), when given a (grade-level) informational text and provided with an [[ exemplar | exemplar ]] of a similar text, (name) will write a (5) paragraph essay that states the author's purpose and evaluates the use of rhetorical devices (e.g. Student writes ""The author supported his purpose when he compared X's love for Y to the story of Romeo and Juliet"") to support his/her purpose, giving at least (3) pieces of supporting evidence from the text, for (4 out of 5) texts, as measured by a (teacher-created rubric or assessment).

Examples of Rhetorical Devices: analogies, hyperbole, allusion","['9', '10']",Mild,"By (date), when given an [[ modified assignment | instructional-level ]] informational text and an [[ exemplar | exemplar ]], (name) will write a (5) paragraph essay that states the author's purpose and evaluates the use of rhetorical devices (e.g. Student writes ""The author supported his purpose when he compared X's love for Y to the story of Romeo and Juliet"") to support (his/her) purpose, giving at least (3) pieces of supporting evidence from the text, (4 out of 5) texts, as measured by a (teacher-created rubric or assessment).",Moderate,"By (date), when given an [[ modified assignment | instructional-level ]] informational text and an [[ exemplar | exemplar ]], (name) will use a [[ graphic organizers | graphic organizer ]] to write a (5) paragraph essay that states the author's purpose and evaluates the use of rhetorical devices (e.g. Student writes ""The author supported his purpose when he compared X's love for Y to the story of Romeo and Juliet"") to support (his/her) purpose, giving at least (3) pieces of supporting evidence from the text, (4 out of 5) texts, as measured by a (teacher-created rubric or assessment).

[[http://www.dailyteachingtools.com/free-graphic-organizers-w.html|Examples of Graphic Organizers for Writing]]",Intense,"By (date), after a [[ read aloud | teacher read aloud ]] of an [[ modified assignment | instructional-level ]] [[preferred topic or text|preferred informational text]], (name) will use [[ sentence starters | sentence frames ]] (e.g., Teacher writes ""The author wrote this story to..."") and [[ teacher modeling academic task | teacher support ]] (e.g. Teacher models how to analyze a reading passage but using a previously read book) to write a single-paragraph essay that states the central idea, (1) supporting piece of evidence, and if the text is a summary or a critique of a topic, (4 out of 5) texts, as measured by a (teacher-created rubric or assessment).",,,,,,,['CCSS.ELA-Literacy.RI.9-10.6'],Reading,['Comprehension: Informational Text'],Analyze An Author's Purpose,"Rather than expect all students to independently read all texts, the teacher may support some students by [[ read aloud | reading aloud ]] the text that will be analyzed. By doing so, teachers allow and support the students to work with texts that may be too difficult for decoding and/or independent reading, but that are entirely suitable for comprehension, discussion, and analysis. A student may be asked to follow along with the read aloud of a text, or could work one-on-one with the teacher with the text, supporting reading skills independent of discussion and analytical skills.",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"While capable of comprehending and orally analyzing a text, some students present with difficulties organizing their thoughts in writing. Supporting students with a [[ graphic organizers | graphic organizer ]] can offer them a written, visual scaffold that concretely organizes their ideas. This organizer can take many forms, depending on the needs of the individual student. In this instance, the concept of summary vs critique could be explicitly written on the organizer, perhaps with [[ sentence starters | sentence starters ]] to support the language of comparisons.",UDL II 6.3 Provide Multiple Means of Action and Expression: Facilitate managing information and resources,"Because not all students read on grade level nor are able to consume the same length of text, teachers can support students by offering a [[ modified assignment | modified assignment ]]. Here, a student may be provided with a text to analyze that is at her instructional reading level, rather than grade-level, or may be asked to write an analysis that is of shorter length than some peers. Alternately, the text for analysis might not be altered, but may simply be abridged. Providing all students with text that they can consume with independence goes a long way in bolstering confidence and facility with the task of analyzing, rather than struggling with the consumption of text.",UDL III 8.2 Provide Multiple Means of Engagement: Vary demands and resources to optimize challenge,,,,,,
,,"By (date), after silently reading or a [[ read aloud | teacher read aloud ]] of a grade-level, nonfiction text, (name) will verbally state the author and illustrator and explain the role of each (e.g. “The author writes the words and the illustrator draws the pictures.”), during (3 out of 3) text discussions.",['K'],Mild,"By (date), after silently reading or a [[ read aloud | teacher read aloud ]] of a grade-level, nonfiction text, when [[ verbal prompting | reminded ]] by the teacher of a previous [[ preteaching | lesson ]] (e.g. “Think back to when we learned what the author and illustrator of a book do.”), (name) will verbally state the author and illustrator and explain the role of each (e.g. “The author writes the words and the illustrator draws the pictures.”), during (3 out of 3) text discussions.",Moderate,"By (date), after silently reading or a [[ read aloud | teacher read aloud ]] of an instructional level, nonfiction text, (name) will imitate a [[ teacher modeling academic task | teacher model]] (e.g. Teacher verbally states the author and illustrator and their roles before having the student complete the task independently) by verbally stating the author and illustrator and explain the role of each (e.g. “The author writes the words and the illustrator draws the pictures.”), during (3 out of 3) text discussions.",Intense,"By (date), after a [[ read aloud | teacher read aloud ]] of an [[ leveled texts | instructional-level ]], nonfiction text, (name) will verbally answer (2) [[ multiple choice | multiple choice questions ]] correctly, given a choice of (2) possible responses, to identify the roles of the author and illustrator (i.e. “Does the author write the words or make the pictures of a book?”) during (2 out of 3) text discussions.",,,,,,,['CCSS.ELA-Literacy.RI.K.6'],Reading,['Comprehension: Informational Text'],Defining Role of Author/Illustrator,"Some students (especially younger students) may have difficulty remembering what an author and illustrator do, or remembering their names after a [[read aloud| read aloud]]. [[ verbal prompting | Reminding ]] a student of a previous lesson in which this information was taught can be very helpful. The teacher may approach the target student and say “Remember when we learned about what the author and illustrator of a book do? One of them writes the words, and the other makes the illustrations.”",UDL I 3.1 Provide Multiple Means of Representation: Activate or supply background knowledge,"When a verbal reminder is not enough to support a student in completing a task, the teacher may provide [[ teacher modeling academic task | explicit modeling ]] of the task. Here, the teacher could say “Watch me. There are two names here on the cover of the book, and this one says ‘Illustrated by...’, so that must be the illustrator’s name. Illustrations are a big word for pictures.”. The teacher talks and examines the cover of the book in front of the student, both showing the physicality of searching for the information and allowing the student to hear the teacher’s internal thinking.",UDL II 6.3 Provide Multiple Means of Action and Expression: Facilitate managing information and resources,"For those students who may have difficulty reading the names of the author and illustrator, or remembering names or any information that are read, the teacher can assess their abilities of distinguishing between author and illustrator and their roles through a [[ modified assignment | modified assignment ]]. In this case, the teacher can show the target student the cover, pointing to and reading the words “Illustrated by…” and asking “Did this person write the words or make the pictures?”. The teacher has eliminated the need for the student to independently read or remember the names read, as well as narrowed the field from which the student will identify the author and illustrator’s names and roles.",UDL III 8.2 Provide Multiple Means of Engagement: Vary demands and resources to optimize challenge,,,,,,
,,"By (date), after silently reading or a [[ read aloud | teacher read aloud ]] of a grade-level, nonfiction text, (name) will verbally state the author and illustrator and explain the role of each (e.g. “The author writes the words and the illustrator draws the pictures.”), during (3 out of 3) text discussions.",['K'],Mild,"By (date), after silently reading or a [[ read aloud | teacher read aloud ]] of a grade-level, nonfiction text, when [[ verbal prompting | reminded ]] by the teacher of a previous [[ preteaching | lesson ]] (e.g. “Think back to when we learned what the author and illustrator of a book do.”), (name) will verbally state the author and illustrator and explain the role of each (e.g. “The author writes the words and the illustrator draws the pictures.”), during (3 out of 3) text discussions.",Moderate,"By (date), after silently reading or a [[ read aloud | teacher read aloud ]] of an instructional level, nonfiction text, (name) will imitate a [[ teacher modeling academic task | teacher model]] (e.g. Teacher verbally states the author and illustrator and their roles before having the student complete the task independently) by verbally stating the author and illustrator and explain the role of each (e.g. “The author writes the words and the illustrator draws the pictures.”), during (3 out of 3) text discussions.",Intense,"By (date), after a [[ read aloud | teacher read aloud ]] of an [[ leveled texts | instructional-level ]], nonfiction text, (name) will verbally answer (2) [[ multiple choice | multiple choice questions ]] correctly, given a choice of (2) possible responses, to identify the roles of the author and illustrator (i.e. “Does the author write the words or make the pictures of a book?”) during (2 out of 3) text discussions.",,,,,,,['CCSS.ELA-Literacy.RI.K.6'],Reading,['Comprehension: Informational Text'],Defining Role of Author/Illustrator,"Some students (especially younger students) may have difficulty remembering what an author and illustrator do, or remembering their names after a [[read aloud| read aloud]]. [[ verbal prompting | Reminding ]] a student of a previous lesson in which this information was taught can be very helpful. The teacher may approach the target student and say “Remember when we learned about what the author and illustrator of a book do? One of them writes the words, and the other makes the illustrations.”",UDL I 3.1 Provide Multiple Means of Representation: Activate or supply background knowledge,"When a verbal reminder is not enough to support a student in completing a task, the teacher may provide [[ teacher modeling academic task | explicit modeling ]] of the task. Here, the teacher could say “Watch me. There are two names here on the cover of the book, and this one says ‘Illustrated by...’, so that must be the illustrator’s name. Illustrations are a big word for pictures.”. The teacher talks and examines the cover of the book in front of the student, both showing the physicality of searching for the information and allowing the student to hear the teacher’s internal thinking.",UDL II 6.3 Provide Multiple Means of Action and Expression: Facilitate managing information and resources,"For those students who may have difficulty reading the names of the author and illustrator, or remembering names or any information that are read, the teacher can assess their abilities of distinguishing between author and illustrator and their roles through a [[ modified assignment | modified assignment ]]. In this case, the teacher can show the target student the cover, pointing to and reading the words “Illustrated by…” and asking “Did this person write the words or make the pictures?”. The teacher has eliminated the need for the student to independently read or remember the names read, as well as narrowed the field from which the student will identify the author and illustrator’s names and roles.",UDL III 8.2 Provide Multiple Means of Engagement: Vary demands and resources to optimize challenge,,,,,,
