assessment_items_images,assessment_items_resources,goal_text,grades,objectives_objective_0_level,objectives_objective_0_text,objectives_objective_1_level,objectives_objective_1_text,objectives_objective_2_level,objectives_objective_2_text,objectives_objective_3_level,objectives_objective_3_text,objectives_objective_4_level,objectives_objective_4_text,objectives_objective_5_level,objectives_objective_5_text,standard_codes,subject,subject_domains,title,udl_adaptations_udl_adaptations_0_text,udl_adaptations_udl_adaptations_0_udl_standard_long_ref,udl_adaptations_udl_adaptations_1_text,udl_adaptations_udl_adaptations_1_udl_standard_long_ref,udl_adaptations_udl_adaptations_2_text,udl_adaptations_udl_adaptations_2_udl_standard_long_ref,udl_adaptations_udl_adaptations_3_text,udl_adaptations_udl_adaptations_3_udl_standard_long_ref,udl_adaptations_udl_adaptations_4_text,udl_adaptations_udl_adaptations_4_udl_standard_long_ref,udl_adaptations_udl_adaptations_5_text,udl_adaptations_udl_adaptations_5_udl_standard_long_ref
,,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts, (name) will demonstrate understanding of time concepts (e.g. yesterday, today, tomorrow) by orally describing (1) activity he/she completed the day before, (1) activity he/she did on the current day, and (1) activity he/she will do the next day, using (3-5) words in a phrase or simple sentence, in (4 of 5) sharing opportunities.",['K'],Mild,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts and [[ visual aids | visual aids ]] (e.g., using a calendar to indicate yesterday, today, and tomorrow), (name) will demonstrate understanding of time concepts (e.g. yesterday, today, tomorrow) by orally describing (1) activity he/she completed the day before, (1) activity he/she did on the current day, and (1) activity he/she will do the next day, using (3-5) words in a phrase or simple sentence, in (4 of 5) sharing opportunities.",Moderate,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts, [[ visual aids | visual aids ]] (e.g., using a calendar to indicate yesterday, today, and tomorrow), and the teacher [[ modeling behaviors | modeling ]] example activities done at school yesterday and today, (name) will demonstrate understanding of time concepts (e.g. yesterday, today) by orally describing (1) activity he/she completed the day before and (1) activity he/she did on the current day, using (3-5) words in a phrase or simple sentence, in (3 of 5) sharing opportunities.",Intense,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts, [[ visual aids | visual aids ]] (e.g., using a calendar to indicate yesterday, today, and tomorrow), and [[ picture choices | picture choices ]] of activities done at school on the current day, (name) will demonstrate understanding of time concepts (e.g. today) by orally describing (1) activity he/she did on the current day, using (3-5) words in a phrase or simple sentence, in (3 of 5) sharing opportunities.",,,,,,,['CCSS.ELA-Literacy.SL.K.4'],Speech & Language,['Receptive Language'],Understanding Vocabulary for Time,"To maximize learning for all students, the teacher can customize how information is presented. For example, the teacher can emphasize key words, such as ""today,"" ""yesterday,"" and/or ""tomorrow"" by writing them largely on the board, using different colors for each concept of time, and then tape photos of things that occurred during each period of time under each heading.",UDL I 1.1 Provide Multiple Means of Representation: Offer ways of customizing the display of information,"To maximize learning for all students, the teacher can use assisstive technologies, such as adapted software (e.g., Clicker 6) to teach concepts of time in an engaging and dynamic way. For example, the student can match different photos that represent activities done on the current day and then match photos that represent activities done on the previous day.",UDL II 4.2 Provide Multiple Means of Action and Expression: Optimize access to tools and assistive technologies,"To maximize learning for all students, the teacher can aid students manage frustration if they feel overwhelmed by the demands of a task. For example, for children who have anxiety when prompted to use oral language, the teacher can allow them to point to [[ picture choices | picture choices ]] that represent their response.",UDL III 9.2 Provide Multiple Means of Engagement: Facilitate personal coping skills and strategies,,,,,,
,,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts, (name) will demonstrate understanding of time concepts (e.g. yesterday, today, tomorrow) by orally describing (1) activity he/she completed the day before, (1) activity he/she did on the current day, and (1) activity he/she will do the next day, using (3-5) words in a phrase or simple sentence, in (4 of 5) sharing opportunities.",['K'],Mild,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts and [[ visual aids | visual aids ]] (e.g., using a calendar to indicate yesterday, today, and tomorrow), (name) will demonstrate understanding of time concepts (e.g. yesterday, today, tomorrow) by orally describing (1) activity he/she completed the day before, (1) activity he/she did on the current day, and (1) activity he/she will do the next day, using (3-5) words in a phrase or simple sentence, in (4 of 5) sharing opportunities.",Moderate,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts, [[ visual aids | visual aids ]] (e.g., using a calendar to indicate yesterday, today, and tomorrow), and the teacher [[ modeling behaviors | modeling ]] example activities done at school yesterday and today, (name) will demonstrate understanding of time concepts (e.g. yesterday, today) by orally describing (1) activity he/she completed the day before and (1) activity he/she did on the current day, using (3-5) words in a phrase or simple sentence, in (3 of 5) sharing opportunities.",Intense,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts, [[ visual aids | visual aids ]] (e.g., using a calendar to indicate yesterday, today, and tomorrow), and [[ picture choices | picture choices ]] of activities done at school on the current day, (name) will demonstrate understanding of time concepts (e.g. today) by orally describing (1) activity he/she did on the current day, using (3-5) words in a phrase or simple sentence, in (3 of 5) sharing opportunities.",,,,,,,['CCSS.ELA-Literacy.SL.K.4'],Speech & Language,['Receptive Language'],Understanding Vocabulary for Time,"To maximize learning for all students, the teacher can customize how information is presented. For example, the teacher can emphasize key words, such as ""today,"" ""yesterday,"" and/or ""tomorrow"" by writing them largely on the board, using different colors for each concept of time, and then tape photos of things that occurred during each period of time under each heading.",UDL I 1.1 Provide Multiple Means of Representation: Offer ways of customizing the display of information,"To maximize learning for all students, the teacher can use assisstive technologies, such as adapted software (e.g., Clicker 6) to teach concepts of time in an engaging and dynamic way. For example, the student can match different photos that represent activities done on the current day and then match photos that represent activities done on the previous day.",UDL II 4.2 Provide Multiple Means of Action and Expression: Optimize access to tools and assistive technologies,"To maximize learning for all students, the teacher can aid students manage frustration if they feel overwhelmed by the demands of a task. For example, for children who have anxiety when prompted to use oral language, the teacher can allow them to point to [[ picture choices | picture choices ]] that represent their response.",UDL III 9.2 Provide Multiple Means of Engagement: Facilitate personal coping skills and strategies,,,,,,
,,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts, (name) will demonstrate understanding of time concepts (e.g. yesterday, today, tomorrow) by orally describing (1) activity he/she completed the day before, (1) activity he/she did on the current day, and (1) activity he/she will do the next day, using (3-5) words in a phrase or simple sentence, in (4 of 5) sharing opportunities.",['K'],Mild,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts and [[ visual aids | visual aids ]] (e.g., using a calendar to indicate yesterday, today, and tomorrow), (name) will demonstrate understanding of time concepts (e.g. yesterday, today, tomorrow) by orally describing (1) activity he/she completed the day before, (1) activity he/she did on the current day, and (1) activity he/she will do the next day, using (3-5) words in a phrase or simple sentence, in (4 of 5) sharing opportunities.",Moderate,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts, [[ visual aids | visual aids ]] (e.g., using a calendar to indicate yesterday, today, and tomorrow), and the teacher [[ modeling behaviors | modeling ]] example activities done at school yesterday and today, (name) will demonstrate understanding of time concepts (e.g. yesterday, today) by orally describing (1) activity he/she completed the day before and (1) activity he/she did on the current day, using (3-5) words in a phrase or simple sentence, in (3 of 5) sharing opportunities.",Intense,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts, [[ visual aids | visual aids ]] (e.g., using a calendar to indicate yesterday, today, and tomorrow), and [[ picture choices | picture choices ]] of activities done at school on the current day, (name) will demonstrate understanding of time concepts (e.g. today) by orally describing (1) activity he/she did on the current day, using (3-5) words in a phrase or simple sentence, in (3 of 5) sharing opportunities.",,,,,,,['CCSS.ELA-Literacy.SL.K.4'],Speech & Language,['Receptive Language'],Understanding Key Words for Time,"To maximize learning for all students, the teacher can customize how information is presented. For example, the teacher can emphasize key words, such as ""today,"" ""yesterday,"" and/or ""tomorrow"" by writing them largely on the board, using different colors for each concept of time, and then tape photos of things that occurred during each period of time under each heading.",UDL I 1.1 Provide Multiple Means of Representation: Offer ways of customizing the display of information,"To maximize learning for all students, the teacher can use assisstive technologies, such as adapted software (e.g., Clicker 6) to teach concepts of time in an engaging and dynamic way. For example, the student can match different photos that represent activities done on the current day and then match photos that represent activities done on the previous day.",UDL II 4.2 Provide Multiple Means of Action and Expression: Optimize access to tools and assistive technologies,"To maximize learning for all students, the teacher can aid students manage frustration if they feel overwhelmed by the demands of a task. For example, for children who have anxiety when prompted to use oral language, the teacher can allow them to point to [[ picture choices | picture choices ]] that represent their response.",UDL III 9.2 Provide Multiple Means of Engagement: Facilitate personal coping skills and strategies,,,,,,
,,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts, (name) will demonstrate understanding of time concepts (e.g. yesterday, today, tomorrow) by orally describing (1) activity he/she completed the day before, (1) activity he/she did on the current day, and (1) activity he/she will do the next day, using (3-5) words in a phrase or simple sentence, in (4 of 5) sharing opportunities.",['K'],Mild,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts and [[ visual aids | visual aids ]] (e.g., using a calendar to indicate yesterday, today, and tomorrow), (name) will demonstrate understanding of time concepts (e.g. yesterday, today, tomorrow) by orally describing (1) activity he/she completed the day before, (1) activity he/she did on the current day, and (1) activity he/she will do the next day, using (3-5) words in a phrase or simple sentence, in (4 of 5) sharing opportunities.",Moderate,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts, [[ visual aids | visual aids ]] (e.g., using a calendar to indicate yesterday, today, and tomorrow), and the teacher [[ modeling behaviors | modeling ]] example activities done at school yesterday and today, (name) will demonstrate understanding of time concepts (e.g. yesterday, today) by orally describing (1) activity he/she completed the day before and (1) activity he/she did on the current day, using (3-5) words in a phrase or simple sentence, in (3 of 5) sharing opportunities.",Intense,"By (date), during circle time and provided with [[ preteaching | preteaching ]] on time concepts, [[ visual aids | visual aids ]] (e.g., using a calendar to indicate yesterday, today, and tomorrow), and [[ picture choices | picture choices ]] of activities done at school on the current day, (name) will demonstrate understanding of time concepts (e.g. today) by orally describing (1) activity he/she did on the current day, using (3-5) words in a phrase or simple sentence, in (3 of 5) sharing opportunities.",,,,,,,['CCSS.ELA-Literacy.SL.K.4'],Speech & Language,['Receptive Language'],Understanding Key Words for Time,"To maximize learning for all students, the teacher can customize how information is presented. For example, the teacher can emphasize key words, such as ""today,"" ""yesterday,"" and/or ""tomorrow"" by writing them largely on the board, using different colors for each concept of time, and then tape photos of things that occurred during each period of time under each heading.",UDL I 1.1 Provide Multiple Means of Representation: Offer ways of customizing the display of information,"To maximize learning for all students, the teacher can use assisstive technologies, such as adapted software (e.g., Clicker 6) to teach concepts of time in an engaging and dynamic way. For example, the student can match different photos that represent activities done on the current day and then match photos that represent activities done on the previous day.",UDL II 4.2 Provide Multiple Means of Action and Expression: Optimize access to tools and assistive technologies,"To maximize learning for all students, the teacher can aid students manage frustration if they feel overwhelmed by the demands of a task. For example, for children who have anxiety when prompted to use oral language, the teacher can allow them to point to [[ picture choices | picture choices ]] that represent their response.",UDL III 9.2 Provide Multiple Means of Engagement: Facilitate personal coping skills and strategies,,,,,,
,,"By (date), during a classroom writing period, when given a (3)-paragraph written passage, (name) will mark at least (5) edits (e.g. deleting, changing, and/or adding text) for grammar, spelling, word-choice, punctuation, and formality, per a teacher-made rubric, during (4 out of 5) writing sessions.",['4'],Mild,"By (date), during a classroom writing period, when given a (3)-paragraph written passage and an [[ Reference Materials | editing checklist]], (name) will mark at least (5) edits (e.g. deleting, changing, and/or adding text) for grammar, spelling, word-choice, punctuation, and formality, per a teacher-made rubric, during (4 out of 5) writing sessions.",Moderate,"By (date), during a classroom writing period and when given an [[ Reference Materials | editing checklist]], (name) will work with a [[ Peer Editing | peer editing ]] partner or group to edit a draft of a (3)-paragraph written passage, marking at least (5) edits (e.g. deleting, changing, and/or adding text) for grammar, spelling, word-choice, punctuation, and formality, per a teacher-made rubric, during (3 out of 4) writing sessions.",Intense,"By (date), during a classroom writing period, (name) will work with the teacher using an [[ Adapted Text | adapted version ]] of a text to edit (1) paragraph, marking at least (3) edits (e.g. deleting, changing, and/or adding text) for grammar, spelling, word-choice, punctuation, and formality, per a teacher-made rubric, during (2 out of 3) writing sessions.",,,,,,,['CCSS.ELA-Literacy.L.4.3'],Speech & Language,[],Edit Drafts To Conform With Language Conventions,Having [[ Reference Materials | reference materials ]] available for student use during the revision process can support students’ independence. [[ http://www.readwritethink.org/files/resources/printouts/Editing%20Checklist.pdf|Revision checklists]] based on the teacher-made rubric can be a useful tool. Examples of students’ past revisions can also be helpful examples. Looking over reference materials can give students examples on which to base their own revisions and can support discussions about revision (e.g. “Why do you think this student made this particular change?”).,"UDL I 2.3 Provide Multiple Means of Representation: Support decoding text, mathematical notation, and symbols","Offering students an [[ Adapted Text | adapted version ]] of a text, even one they’ve written themselves, can be an effective support. The teacher may prepare a student’s own multi-paragraph piece by highlighting a sentence requiring an editing change (e.g. the teacher highlights a sentence in which a plural is used where a singular form should be used). Therefore, the student’s attention is focused on the correct sentence, but the exact editing change required is not given. Alternatively, the text may be shortened or otherwise truncated if the student’s stamina does not allow for editing an entire piece in the time allowed. The student’s piece might also be enlarged. Editing requires a certain visual acuity and enlarging the text might be a helpful support for some students to focus and work on editing.",UDL II 5.1 Provide Multiple Means of Action and Expression: Use multiple media for communication,"[[ Peer Editing | Peer Editing ]] is a powerful tool that empowers students to take control of their writing process—learning from one another the lifelong skills that will steer their writing prowess. By the time peer revision sessions are utilized as a teaching tool in the classroom, it is important that the revision process has been well modeled by the teacher. The teacher must also remember that peer-revision groups do not function completely independent of the teacher—they must be closely monitored. Even a brief verbal prompt into the ear of one student can powerfully impact the path that a revising group is on.",UDL III 8.4 Provide Multiple Means of Engagement: Increase mastery-oriented feedback,,,,,,
,,"By (date), during a classroom writing period, when given a (3)-paragraph written passage, (name) will mark at least (5) edits (e.g. deleting, changing, and/or adding text) for grammar, spelling, word-choice, punctuation, and formality, per a teacher-made rubric, during (4 out of 5) writing sessions.",['4'],Mild,"By (date), during a classroom writing period, when given a (3)-paragraph written passage and an [[ Reference Materials | editing checklist]], (name) will mark at least (5) edits (e.g. deleting, changing, and/or adding text) for grammar, spelling, word-choice, punctuation, and formality, per a teacher-made rubric, during (4 out of 5) writing sessions.",Moderate,"By (date), during a classroom writing period and when given an [[ Reference Materials | editing checklist]], (name) will work with a [[ Peer Editing | peer editing ]] partner or group to edit a draft of a (3)-paragraph written passage, marking at least (5) edits (e.g. deleting, changing, and/or adding text) for grammar, spelling, word-choice, punctuation, and formality, per a teacher-made rubric, during (3 out of 4) writing sessions.",Intense,"By (date), during a classroom writing period, (name) will work with the teacher using an [[ Adapted Text | adapted version ]] of a text to edit (1) paragraph, marking at least (3) edits (e.g. deleting, changing, and/or adding text) for grammar, spelling, word-choice, punctuation, and formality, per a teacher-made rubric, during (2 out of 3) writing sessions.",,,,,,,['CCSS.ELA-Literacy.L.4.3'],Speech & Language,[],Edit Drafts To Conform With Language Conventions,Having [[ Reference Materials | reference materials ]] available for student use during the revision process can support students’ independence. [[ http://www.readwritethink.org/files/resources/printouts/Editing%20Checklist.pdf|Revision checklists]] based on the teacher-made rubric can be a useful tool. Examples of students’ past revisions can also be helpful examples. Looking over reference materials can give students examples on which to base their own revisions and can support discussions about revision (e.g. “Why do you think this student made this particular change?”).,"UDL I 2.3 Provide Multiple Means of Representation: Support decoding text, mathematical notation, and symbols","Offering students an [[ Adapted Text | adapted version ]] of a text, even one they’ve written themselves, can be an effective support. The teacher may prepare a student’s own multi-paragraph piece by highlighting a sentence requiring an editing change (e.g. the teacher highlights a sentence in which a plural is used where a singular form should be used). Therefore, the student’s attention is focused on the correct sentence, but the exact editing change required is not given. Alternatively, the text may be shortened or otherwise truncated if the student’s stamina does not allow for editing an entire piece in the time allowed. The student’s piece might also be enlarged. Editing requires a certain visual acuity and enlarging the text might be a helpful support for some students to focus and work on editing.",UDL II 5.1 Provide Multiple Means of Action and Expression: Use multiple media for communication,"[[ Peer Editing | Peer Editing ]] is a powerful tool that empowers students to take control of their writing process—learning from one another the lifelong skills that will steer their writing prowess. By the time peer revision sessions are utilized as a teaching tool in the classroom, it is important that the revision process has been well modeled by the teacher. The teacher must also remember that peer-revision groups do not function completely independent of the teacher—they must be closely monitored. Even a brief verbal prompt into the ear of one student can powerfully impact the path that a revising group is on.",UDL III 8.4 Provide Multiple Means of Engagement: Increase mastery-oriented feedback,,,,,,
,,"By (date), when given a writing prompt during a whole-class writing activity (e.g. ""What did you do over the weekend?""), (name) will write a (3)-sentence paragraph containing no more than (1) error of subject-verb or pronoun-antecedent agreement, for (4 of 5) writing activities.",['4'],Mild,"By (date), when given a writing prompt during a whole-class writing activity (e.g. ""What did you do over the weekend?""), (name) will use a [[paragraph template|paragraph template]] to write a (3)-sentence paragraph containing no more than (1) error of subject-verb or pronoun-antecedent agreement, for (4 of 5) writing activities.",Moderate,"By (date), following a [[teacher modeling academic task|demonstration]] of writing an example paragraph, when given a writing prompt during a whole-class writing activity (e.g., ""What did you do over the weekend?""), (name) will use a [[paragraph template|paragraph template]] to write a (3)-sentence paragraph containing no more than (1) error of subject-verb or pronoun-antecedent agreement, for (3 of 4) writing activities.",Intense,"By (date), following a [[teacher modeling academic task|demonstration]] of writing an example sentence, when [[verbal prompting|verbally]] given a writing prompt during a whole-class writing activity (e.g., ""What did you do over the weekend?""), (name) will write (2) sentences containing no more than (1) error of subject-verb or pronoun-antecedent agreement,  for (2 of 3) writing activities.",,,,,,,['CCSS.ELA-Literacy.L.3.1f'],Speech & Language,[],Ensure Subject-Verb Agreement,"When providing student with prompts for writing activities, teacher can present the prompts to students in multiple ways to ensure that learners have equal access to the information. For example, teachers can write the prompt on the board, verbally state the prompt, or write the prompt at the top of an individuals student's paper.",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"To support students who struggle significantly with writing activities (e.g., students with dysgraphia or poor fine-motor skills), teachers can transcribe answers given verbally by the student. By varyings the method with which student can respond to a prompt, teachers can reduce barriers to learning and increase students' access to the curriculum.",UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,"To increase students' independence in completing a paragraph-writing task, teachers can provide a [[paragraph template|template]]. Teachers can increase the autonomy of a student's work by providing them with guides and prompts through the use of a template instead of verbal prompting and student-teacher interaction.",UDL III 7.1 Provide Multiple Means of Engagement: Optimize individual choice and autonomy,,,,,,
,,"By (date), when given a writing prompt during a whole-class writing activity (e.g. ""What did you do over the weekend?""), (name) will write a (3)-sentence paragraph containing no more than (1) error of subject-verb or pronoun-antecedent agreement, for (4 of 5) writing activities.",['4'],Mild,"By (date), when given a writing prompt during a whole-class writing activity (e.g. ""What did you do over the weekend?""), (name) will use a [[paragraph template|paragraph template]] to write a (3)-sentence paragraph containing no more than (1) error of subject-verb or pronoun-antecedent agreement, for (4 of 5) writing activities.",Moderate,"By (date), following a [[teacher modeling academic task|demonstration]] of writing an example paragraph, when given a writing prompt during a whole-class writing activity (e.g., ""What did you do over the weekend?""), (name) will use a [[paragraph template|paragraph template]] to write a (3)-sentence paragraph containing no more than (1) error of subject-verb or pronoun-antecedent agreement, for (3 of 4) writing activities.",Intense,"By (date), following a [[teacher modeling academic task|demonstration]] of writing an example sentence, when [[verbal prompting|verbally]] given a writing prompt during a whole-class writing activity (e.g., ""What did you do over the weekend?""), (name) will write (2) sentences containing no more than (1) error of subject-verb or pronoun-antecedent agreement,  for (2 of 3) writing activities.",,,,,,,['CCSS.ELA-Literacy.L.3.1f'],Speech & Language,[],Ensure Subject-Verb Agreement,"When providing student with prompts for writing activities, teacher can present the prompts to students in multiple ways to ensure that learners have equal access to the information. For example, teachers can write the prompt on the board, verbally state the prompt, or write the prompt at the top of an individuals student's paper.",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"To support students who struggle significantly with writing activities (e.g., students with dysgraphia or poor fine-motor skills), teachers can transcribe answers given verbally by the student. By varyings the method with which student can respond to a prompt, teachers can reduce barriers to learning and increase students' access to the curriculum.",UDL II 4.1 Provide Multiple Means of Action and Expression: Vary the methods for response and navigation,"To increase students' independence in completing a paragraph-writing task, teachers can provide a [[paragraph template|template]]. Teachers can increase the autonomy of a student's work by providing them with guides and prompts through the use of a template instead of verbal prompting and student-teacher interaction.",UDL III 7.1 Provide Multiple Means of Engagement: Optimize individual choice and autonomy,,,,,,
,,"By (date), during a writing activity in the classroom, when writing a (5)-sentence paragraph, (name) will include at least (3) well-placed (i.e. not dangling) modifiers, according to a teacher-created rubric, during (4 out of 5) writing sessions.

Example of Misplaced Modifiers:
Incorrect placement: ""The vendor almost sold all of her pottery at the crafts fair.""
The word ""almost"" is misplaced. 
Correct placement: ""The vendor sold almost all of her pottery at the crafts fair.""",['7'],Mild,"By (date), during a writing activity in the classroom and given a [[ Paragraph Template | paragraph template ]], when writing a (5)-sentence paragraph, (name) will include at least (3) well-placed (i.e. not dangling) modifiers, according to a teacher-created rubric, during (4 out of 5) writing sessions.",Moderate,"By (date), during a writing activity in the classroom and given a [[ Paragraph Template | paragraph template ]], when writing a (5)-sentence paragraph, (name) will join a [[ Peer Buddies | writing partner ]] to include at least (3) well-placed (i.e. not dangling) modifiers, according to a teacher-created rubric, during (3 out of 4) writing sessions.",Intense,"By (date), during a writing activity in the classroom, (name) will use [[sentence starters|sentence frames]] to write a (2)-sentence [[ Modified Assignment | modified writing assignment ]] (e.g. shortened, simplified task) that includes at least (1) well-placed (i.e. not dangling) modifiers, according to a teacher-created rubric, during (2 out of 3) writing sessions.",,,,,,,['CCSS.ELA-Literacy.L.7.1c'],Speech & Language,[],Use Well-Placed Modifiers,"Rather than maintaining the expectation that a student write a paragraph or multi-paragraph piece using standard conventions with independence, teachers may provide students with a [[ Paragraph Template | paragraph template ]]. This template may include the overall organization that paragraphs or an entire essay should follow, or may also have [[ Sentence starters | sentence frames ]] to model examples and models of well-placed (i.e. not dangling) modifiers. This template can be introduced in as much detail as the student demands, with either the teacher or a classmate providing the explanation. Other students may benefit well with working from the template independently.","UDL I 2.3 Provide Multiple Means of Representation: Support decoding text, mathematical notation, and symbols","Some students may be overwhelmed by a grade-level assignment asking that they produce a multi-paragraph piece of writing. Rather than expect all students to produce the same work to show mastery of writing conventions, teachers may design a [[ Modified Assignment | modified assignment ]] that asks students to write a few sentences rather than a full paragraph, or a short paragraph rather than a multi-paragraph piece. Similarly, students may be asked to show facility with one or two of the writing conventions demanded in this standard, rather than all of them (or one at a time or a length of time, rather than all at once).",UDL II 5.3 Provide Multiple Means of Action and Expression: Build fluencies with graduated levels of support for practice and performance,"While some students may have difficulty showing mastery of writing conventions with independence, they may perform with greater ease while working in tandem with a [[ Peer Buddies | writing buddy ]]. The writing partnership can take many forms—some students may find that simply bouncing ideas or receiving writing advice from a partner is less risky than from a teacher, while other students may need more structured leadership. The teacher can use a heavy hand over the mentor writer, may offer explicit instruction to both writers if the skill-level of both writers is the same, or may just set up the partnership and watch from a distance.",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
,,"By (date), during a writing activity in the classroom, when writing a (5)-sentence paragraph, (name) will include at least (3) well-placed (i.e. not dangling) modifiers, according to a teacher-created rubric, during (4 out of 5) writing sessions.

Example of Misplaced Modifiers:
Incorrect placement: ""The vendor almost sold all of her pottery at the crafts fair.""
The word ""almost"" is misplaced. 
Correct placement: ""The vendor sold almost all of her pottery at the crafts fair.""",['7'],Mild,"By (date), during a writing activity in the classroom and given a [[ Paragraph Template | paragraph template ]], when writing a (5)-sentence paragraph, (name) will include at least (3) well-placed (i.e. not dangling) modifiers, according to a teacher-created rubric, during (4 out of 5) writing sessions.",Moderate,"By (date), during a writing activity in the classroom and given a [[ Paragraph Template | paragraph template ]], when writing a (5)-sentence paragraph, (name) will join a [[ Peer Buddies | writing partner ]] to include at least (3) well-placed (i.e. not dangling) modifiers, according to a teacher-created rubric, during (3 out of 4) writing sessions.",Intense,"By (date), during a writing activity in the classroom, (name) will use [[sentence starters|sentence frames]] to write a (2)-sentence [[ Modified Assignment | modified writing assignment ]] (e.g. shortened, simplified task) that includes at least (1) well-placed (i.e. not dangling) modifiers, according to a teacher-created rubric, during (2 out of 3) writing sessions.",,,,,,,['CCSS.ELA-Literacy.L.7.1c'],Speech & Language,[],Use Well-Placed Modifiers,"Rather than maintaining the expectation that a student write a paragraph or multi-paragraph piece using standard conventions with independence, teachers may provide students with a [[ Paragraph Template | paragraph template ]]. This template may include the overall organization that paragraphs or an entire essay should follow, or may also have [[ Sentence starters | sentence frames ]] to model examples and models of well-placed (i.e. not dangling) modifiers. This template can be introduced in as much detail as the student demands, with either the teacher or a classmate providing the explanation. Other students may benefit well with working from the template independently.","UDL I 2.3 Provide Multiple Means of Representation: Support decoding text, mathematical notation, and symbols","Some students may be overwhelmed by a grade-level assignment asking that they produce a multi-paragraph piece of writing. Rather than expect all students to produce the same work to show mastery of writing conventions, teachers may design a [[ Modified Assignment | modified assignment ]] that asks students to write a few sentences rather than a full paragraph, or a short paragraph rather than a multi-paragraph piece. Similarly, students may be asked to show facility with one or two of the writing conventions demanded in this standard, rather than all of them (or one at a time or a length of time, rather than all at once).",UDL II 5.3 Provide Multiple Means of Action and Expression: Build fluencies with graduated levels of support for practice and performance,"While some students may have difficulty showing mastery of writing conventions with independence, they may perform with greater ease while working in tandem with a [[ Peer Buddies | writing buddy ]]. The writing partnership can take many forms—some students may find that simply bouncing ideas or receiving writing advice from a partner is less risky than from a teacher, while other students may need more structured leadership. The teacher can use a heavy hand over the mentor writer, may offer explicit instruction to both writers if the skill-level of both writers is the same, or may just set up the partnership and watch from a distance.",UDL III 8.3 Provide Multiple Means of Engagement: Foster collaboration and communication,,,,,,
