assessment_items_images,assessment_items_resources,goal_text,grades,objectives_objective_0_level,objectives_objective_0_text,objectives_objective_1_level,objectives_objective_1_text,objectives_objective_2_level,objectives_objective_2_text,objectives_objective_3_level,objectives_objective_3_text,objectives_objective_4_level,objectives_objective_4_text,objectives_objective_5_level,objectives_objective_5_text,standard_codes,subject,subject_domains,title,udl_adaptations_udl_adaptations_0_text,udl_adaptations_udl_adaptations_0_udl_standard_long_ref,udl_adaptations_udl_adaptations_1_text,udl_adaptations_udl_adaptations_1_udl_standard_long_ref,udl_adaptations_udl_adaptations_2_text,udl_adaptations_udl_adaptations_2_udl_standard_long_ref,udl_adaptations_udl_adaptations_3_text,udl_adaptations_udl_adaptations_3_udl_standard_long_ref,udl_adaptations_udl_adaptations_4_text,udl_adaptations_udl_adaptations_4_udl_standard_long_ref,udl_adaptations_udl_adaptations_5_text,udl_adaptations_udl_adaptations_5_udl_standard_long_ref
,,"By (date), when given a [[sentence starters|sentence stem]] describing a topic (e.g. ""In the book ____, my favorite character is_____.""), (name) will complete the sentence and draw a supporting [[illustration|picture]] in (4 out of 5 trials) as measured by (student work samples).",['K'],Mild,"By (date), after being read a story [[read aloud|aloud]], using complete sentences, (name) will complete (1) [[ sentence starters | sentence stem ]] that names the title of the story and (1) sentence stem that names one character from the story in (2 out of 3) sentence-completion activities.",Moderate,"By (date), after being read a story [[read aloud|aloud]], (name) will use a [[ word bank | word bank ]] to complete (1) [[ sentence starters | sentence stem ]] that names the title and characters from a text and produces a complete sentence in (2 out of 3) sentence-completion activities.",Intense,"By (date), when [[read aloud|read aloud]] a story with [[illustration|illustrations]],  when [[verbal prompting|prompted]] by the teacher, (name) will point to the title and identify pictures of characters in the text correctly in (2 out of 3) identification activities.",,,,,,,['CCSS.ELA-Literacy.W.K.1'],Writing,['Opinion & Argument'],Expressing a One-Sentence Opinion,"Instead of the student having to recall key information such as the title and characters from the text, teachers can provide students with [[ picture choices  | pictured cards ]] to display visual support about the key information needed to complete the writing prompt.","UDL I 2.3 Provide Multiple Means of Representation: Support decoding text, mathematical notation, and symbols","Before producing the final draft of the written opinion, teachers can provide students with words and phrases written on cut up [[ sentence starters | sentence strips ]] to guide students in identifying each component needed to construct the opinion piece (e.g. the title, character name). Students can then construct a draft of their opinion piece using the words and phrases to use as a reference for completing the writing process.",UDL II 5.1 Provide Multiple Means of Action and Expression: Use multiple media for communication,"Teachers can have students post their completed work around the classroom for display. When all the works are posted, teachers can guide students in a learning walk: where all students follow the teacher in a walk around the room observing their peers' work. Teachers can have students share their opinions on the pieces they like the best.","UDL III 7.2 Provide Multiple Means of Engagement: Optimize relevance, value, and authenticity",,,,,,
,,"By (date), when given a [[sentence starters|sentence stem]] describing a topic (e.g. ""In the book ____, my favorite character is_____.""), (name) will complete the sentence and draw a supporting [[illustration|picture]] in (4 out of 5 trials) as measured by (student work samples).",['K'],Mild,"By (date), after being read a story [[read aloud|aloud]], using complete sentences, (name) will complete (1) [[ sentence starters | sentence stem ]] that names the title of the story and (1) sentence stem that names one character from the story in (2 out of 3) sentence-completion activities.",Moderate,"By (date), after being read a story [[read aloud|aloud]], (name) will use a [[ word bank | word bank ]] to complete (1) [[ sentence starters | sentence stem ]] that names the title and characters from a text and produces a complete sentence in (2 out of 3) sentence-completion activities.",Intense,"By (date), when [[read aloud|read aloud]] a story with [[illustration|illustrations]],  when [[verbal prompting|prompted]] by the teacher, (name) will point to the title and identify pictures of characters in the text correctly in (2 out of 3) identification activities.",,,,,,,['CCSS.ELA-Literacy.W.K.1'],Writing,['Opinion & Argument'],Expressing a One-Sentence Opinion,"Instead of the student having to recall key information such as the title and characters from the text, teachers can provide students with [[ picture choices  | pictured cards ]] to display visual support about the key information needed to complete the writing prompt.","UDL I 2.3 Provide Multiple Means of Representation: Support decoding text, mathematical notation, and symbols","Before producing the final draft of the written opinion, teachers can provide students with words and phrases written on cut up [[ sentence starters | sentence strips ]] to guide students in identifying each component needed to construct the opinion piece (e.g. the title, character name). Students can then construct a draft of their opinion piece using the words and phrases to use as a reference for completing the writing process.",UDL II 5.1 Provide Multiple Means of Action and Expression: Use multiple media for communication,"Teachers can have students post their completed work around the classroom for display. When all the works are posted, teachers can guide students in a learning walk: where all students follow the teacher in a walk around the room observing their peers' work. Teachers can have students share their opinions on the pieces they like the best.","UDL III 7.2 Provide Multiple Means of Engagement: Optimize relevance, value, and authenticity",,,,,,
,,"By (date), when given a topic prompt, (name) will compose a (5) sentence, opinion piece with (1) topic sentence, (3) sentences stating an opinion on the topic with at least (2) supporting reasons and (1) conclusion sentence in (4 out of 5 trials) as measured by (student work samples).",['1'],Mild,"By (date), when given a topic prompt, (name) will complete a [[paragraph template|paragraph template]] to compose a (5) sentence, opinion piece with (1) topic sentence, (3) sentences stating an opinion on the topic with at least (2) supporting reasons and (1) conclusion sentence in (4 out of 5 trials) as measured by (student work samples).",Moderate,"By (date), when given a topic prompt, using a [[word bank|word bank]], (name) will complete a [[paragraph template|paragraph template]] to compose a (5) sentence, opinion piece with (1) topic sentence, (3) sentences stating an opinion on the topic with at least (2) supporting reasons and (1) conclusion sentence in (4 out of 5 trials) as measured by (student work samples).",Intense,"By (date), when [[read aloud|read aloud]] a story with [[visual aids|visual aids]], (name) will verbally express an opinion about the story and will correctly sort pictures of characters that do or do not belong in the story for (2 out of 3) picture-sorting activities.",,,,,,,['CCSS.ELA-Literacy.W.1.1'],Writing,['Opinion & Argument'],Expressing an opinion with supporting reason,"After interacting with a text, instead of having students construct each part of their opinion piece independently, teachers can have students form an opinion on the topic then participate in an ""information find"" activity where students locate key information such as the title, topic being discussed, reasons/details found directly in the text to support their opinion.","UDL I 3.3 Provide Multiple Means of Representation: Guide information processing, visualization, and manipulation","Before producing the final draft of the written opinion, teachers can provide students with an opportunity to [[cooperative learning|""pair share""]] the topic, opinion, and details used in their piece. Teachers can compile verbal feedback into a written guideline for improvements. After receiving [[peer editing|feedback]] from peers and the teacher's written comments on their work, students can then construct the final draft of their opinion piece.",UDL II 6.2 Provide Multiple Means of Action and Expression: Support planning and strategy development,Teachers can provide students with a menu of topics or texts to select for their opinion piece. Teachers can post differing levels of attainable points or rewards for selecting specific topics. This may inspire the students to set an academic goal for their completed work and also enable different levels of learners to enjoy full participation of an assignment.,UDL III 7.1 Provide Multiple Means of Engagement: Optimize individual choice and autonomy,,,,,,
,,"By (date), when given a topic prompt, (name) will compose a (5) sentence, opinion piece with (1) topic sentence, (3) sentences stating an opinion on the topic with at least (2) supporting reasons and (1) conclusion sentence in (4 out of 5 trials) as measured by (student work samples).",['1'],Mild,"By (date), when given a topic prompt, (name) will complete a [[paragraph template|paragraph template]] to compose a (5) sentence, opinion piece with (1) topic sentence, (3) sentences stating an opinion on the topic with at least (2) supporting reasons and (1) conclusion sentence in (4 out of 5 trials) as measured by (student work samples).",Moderate,"By (date), when given a topic prompt, using a [[word bank|word bank]], (name) will complete a [[paragraph template|paragraph template]] to compose a (5) sentence, opinion piece with (1) topic sentence, (3) sentences stating an opinion on the topic with at least (2) supporting reasons and (1) conclusion sentence in (4 out of 5 trials) as measured by (student work samples).",Intense,"By (date), when [[read aloud|read aloud]] a story with [[visual aids|visual aids]], (name) will verbally express an opinion about the story and will correctly sort pictures of characters that do or do not belong in the story for (2 out of 3) picture-sorting activities.",,,,,,,['CCSS.ELA-Literacy.W.1.1'],Writing,['Opinion & Argument'],Expressing an opinion with supporting reason,"After interacting with a text, instead of having students construct each part of their opinion piece independently, teachers can have students form an opinion on the topic then participate in an ""information find"" activity where students locate key information such as the title, topic being discussed, reasons/details found directly in the text to support their opinion.","UDL I 3.3 Provide Multiple Means of Representation: Guide information processing, visualization, and manipulation","Before producing the final draft of the written opinion, teachers can provide students with an opportunity to [[cooperative learning|""pair share""]] the topic, opinion, and details used in their piece. Teachers can compile verbal feedback into a written guideline for improvements. After receiving [[peer editing|feedback]] from peers and the teacher's written comments on their work, students can then construct the final draft of their opinion piece.",UDL II 6.2 Provide Multiple Means of Action and Expression: Support planning and strategy development,Teachers can provide students with a menu of topics or texts to select for their opinion piece. Teachers can post differing levels of attainable points or rewards for selecting specific topics. This may inspire the students to set an academic goal for their completed work and also enable different levels of learners to enjoy full participation of an assignment.,UDL III 7.1 Provide Multiple Means of Engagement: Optimize individual choice and autonomy,,,,,,
,,"By (date), when given a topic prompt, (name) will compose a (4-5) sentence opinion essay with (1) topic sentence, (2) linking words (e.g., because, therefore, since, for example), (2) supporting reasons, and (1) concluding sentence in (4 out of 5 trials) as measured by (student work samples).

**Exemplar Prompt**: <br>
Do you believe in aliens from outer space? Write a 4-5 sentence essay stating your opinion. Include an opinion statement, reasons that support your opinion, and a conclusion sentence. Also, use at least 1 to 2 linking words to connect your supporting reasons.

**Sample Rubric:** <br>
- clear opinion statement that responds to the prompt<br>
- at least 2 supporting details<br>
- at least 2 linking words<br>
- clear conclusion sentence that restates opinion statement<br>

**Student Model Response:**<br>
I believe that aliens do not exist. My first reason is that NASA has been investigating planets and haven't found any life yet. For example, they went to Mars and they didn't find life there because there isn't any water on the planet. If there was life on other planets, why haven't we heard from them yet? Therefore, since there isn't any proof, it would take a lot of convincing for me to believe in life on other planets.",['3'],Mild,"By (date), when given a topic prompt, (name) will complete a partially-completed [[ graphic organizers | paragraph template ]] to compose a (3) sentence, opinion piece with (1) topic sentence, (1) linking words (e.g., because, therefore, since, for example), (2) supporting detail sentences and (1) concluding sentence in (4 out of 5 trials) as measured by (student work samples).",Moderate,"By (date), when given a topic prompt, using a [[word bank|word bank]], (name) will complete a partially-completed [[ graphic organizers | paragraph template ]] to compose a (3) sentence, opinion piece with (1) topic sentence, (1) linking words (e.g., because, therefore, since, for example), (2) supporting detail sentences and (1) concluding sentence in (4 out of 5 trials) as measured by (student work samples).",Intense,"By (date), when given a topic prompt, (name) will express an opinion by creating an [[illustration|illustrations]] that expresses his or her opinion and verbally explaining the illustration using (2) linking words (e.g., because, therefore, since, for example) in (2 out of 3) illustration activities as measured by a (student work samples).",,,,,,,"['CCSS.ELA-Literacy.W.3.1', 'CCSS.ELA-Literacy.W.3.1b', 'CCSS.ELA-Literacy.W.3.1c']",Writing,['Opinion & Argument'],Use Details and Linking Words to Express Opinion,"When presenting the students with a text, teachers can have students listen to a [[adapted text|digital version]] of the text that uses a human voice to [[read aloud|read the text aloud]]. While listening to the digital text students can following along with a printed version and use a [[highlighting|highlighter]] to identify topic sentences, temporal words (e.g. first, next, last, before, soon), supporting detail sentences and concluding statements.","UDL I 2.3 Provide Multiple Means of Representation: Support decoding text, mathematical notation, and symbols","After interacting with a text, teachers can have students participate in a [[interactive writing|debate]] where students are given an opportunity to share their opinion or view on a topic. Teachers can construct prompts to guide students in referencing the text, to provide details that support their argument and encourage students to use linking words (e.g. because, for example, since, therefore. Teachers can then have students deliver a concluding statement after all view points were discussed.",UDL II 5.1 Provide Multiple Means of Action and Expression: Use multiple media for communication,"Teachers can provide students with an opportunity to engage in a [[interactive writing|whole-class discussion]] about the topic or text where students can share details from the text and or voice their opinion on the topic. Teachers can create a class routine where students who are talking place one hand out to signal they are the speaker while the other students place one hand on their chest to signal they are the listeners. Teachers can also use ""equity sticks"" to create an organized structure of picking participants and heighten engagement.",UDL III 7.3 Provide Multiple Means of Engagement: Minimize threats and distractions,,,,,,
,,"By (date), when given a topic prompt, (name) will compose a (4-5) sentence opinion essay with (1) topic sentence, (2) linking words (e.g., because, therefore, since, for example), (2) supporting reasons, and (1) concluding sentence in (4 out of 5 trials) as measured by (student work samples).

**Exemplar Prompt**: <br>
Do you believe in aliens from outer space? Write a 4-5 sentence essay stating your opinion. Include an opinion statement, reasons that support your opinion, and a conclusion sentence. Also, use at least 1 to 2 linking words to connect your supporting reasons.

**Sample Rubric:** <br>
- clear opinion statement that responds to the prompt<br>
- at least 2 supporting details<br>
- at least 2 linking words<br>
- clear conclusion sentence that restates opinion statement<br>

**Student Model Response:**<br>
I believe that aliens do not exist. My first reason is that NASA has been investigating planets and haven't found any life yet. For example, they went to Mars and they didn't find life there because there isn't any water on the planet. If there was life on other planets, why haven't we heard from them yet? Therefore, since there isn't any proof, it would take a lot of convincing for me to believe in life on other planets.",['3'],Mild,"By (date), when given a topic prompt, (name) will complete a partially-completed [[ graphic organizers | paragraph template ]] to compose a (3) sentence, opinion piece with (1) topic sentence, (1) linking words (e.g., because, therefore, since, for example), (2) supporting detail sentences and (1) concluding sentence in (4 out of 5 trials) as measured by (student work samples).",Moderate,"By (date), when given a topic prompt, using a [[word bank|word bank]], (name) will complete a partially-completed [[ graphic organizers | paragraph template ]] to compose a (3) sentence, opinion piece with (1) topic sentence, (1) linking words (e.g., because, therefore, since, for example), (2) supporting detail sentences and (1) concluding sentence in (4 out of 5 trials) as measured by (student work samples).",Intense,"By (date), when given a topic prompt, (name) will express an opinion by creating an [[illustration|illustrations]] that expresses his or her opinion and verbally explaining the illustration using (2) linking words (e.g., because, therefore, since, for example) in (2 out of 3) illustration activities as measured by a (student work samples).",,,,,,,"['CCSS.ELA-Literacy.W.3.1', 'CCSS.ELA-Literacy.W.3.1b', 'CCSS.ELA-Literacy.W.3.1c']",Writing,['Opinion & Argument'],Use Details and Linking Words to Express Opinion,"When presenting the students with a text, teachers can have students listen to a [[adapted text|digital version]] of the text that uses a human voice to [[read aloud|read the text aloud]]. While listening to the digital text students can following along with a printed version and use a [[highlighting|highlighter]] to identify topic sentences, temporal words (e.g. first, next, last, before, soon), supporting detail sentences and concluding statements.","UDL I 2.3 Provide Multiple Means of Representation: Support decoding text, mathematical notation, and symbols","After interacting with a text, teachers can have students participate in a [[interactive writing|debate]] where students are given an opportunity to share their opinion or view on a topic. Teachers can construct prompts to guide students in referencing the text, to provide details that support their argument and encourage students to use linking words (e.g. because, for example, since, therefore. Teachers can then have students deliver a concluding statement after all view points were discussed.",UDL II 5.1 Provide Multiple Means of Action and Expression: Use multiple media for communication,"Teachers can provide students with an opportunity to engage in a [[interactive writing|whole-class discussion]] about the topic or text where students can share details from the text and or voice their opinion on the topic. Teachers can create a class routine where students who are talking place one hand out to signal they are the speaker while the other students place one hand on their chest to signal they are the listeners. Teachers can also use ""equity sticks"" to create an organized structure of picking participants and heighten engagement.",UDL III 7.3 Provide Multiple Means of Engagement: Minimize threats and distractions,,,,,,
,,"By (date), when given (1) [[Sentence starters | sentence stem]] describing a topic (e.g. ""The ___ book is about ____ .""), (name) will complete the sentence and draw a supporting [[illustration|picture]] in (4 out of 5 trials) as measured by (student work samples).",['K'],Mild,"By (date), when given a topic or text, (name) will complete a [[graphic organizers|graphic organizer]] listing the title or topic and (1) supporting detail then use the completed graphic organizer to construct an informative piece with (1) complete sentence and (1) [[illustration|illustration]] that supports his or her writing in (2 out of 3) informative-writing activities.",Moderate,"By (date), when given a topic or text, (name) will create a [[picture story telling|story board]] that depicts the topic and supporting information and then use the story board along with teacher guidance to construct (1) complete sentence and (1) [[illustration|illustration]] that supports his or her writing in (2 out of 3) informative-writing activities.",Intense,"By (date), when given a topic or a text, (name) will complete a [[picture sequencing|picture sort]] and correctly match a topic to the appropriate supporting information in (2 out of 3) picture-sorting activities.",,,,,,,['CCSS.ELA-Literacy.W.K.2'],Writing,['Informative & Explanatory'],Explaining a Topic Using an Illustration,"Teachers can provide students an opportunity to [[songs, raps and chants|chant]] the story while hanging up pictures that represent each part of the story including the main topic and supporting details being discussed. Teachers can also provide students with [[ realia | physical objects ]] that represent key information from the text.",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"Instead of students writing sentences describing the topic, the teacher can allow the student to create a [[ picture story telling | story board ]] that depicts the title, topic and supporting information of the text.",UDL II 5.1 Provide Multiple Means of Action and Expression: Use multiple media for communication,"Teachers can guide students in a class discussion regarding the topic and information presented by the story. Teachers can give students the opportunity to [[cooperative learning|""pair share""]] and have one student from each group share their insights.",UDL III 7.3 Provide Multiple Means of Engagement: Minimize threats and distractions,,,,,,
,,"By (date), when given (1) [[Sentence starters | sentence stem]] describing a topic (e.g. ""The ___ book is about ____ .""), (name) will complete the sentence and draw a supporting [[illustration|picture]] in (4 out of 5 trials) as measured by (student work samples).",['K'],Mild,"By (date), when given a topic or text, (name) will complete a [[graphic organizers|graphic organizer]] listing the title or topic and (1) supporting detail then use the completed graphic organizer to construct an informative piece with (1) complete sentence and (1) [[illustration|illustration]] that supports his or her writing in (2 out of 3) informative-writing activities.",Moderate,"By (date), when given a topic or text, (name) will create a [[picture story telling|story board]] that depicts the topic and supporting information and then use the story board along with teacher guidance to construct (1) complete sentence and (1) [[illustration|illustration]] that supports his or her writing in (2 out of 3) informative-writing activities.",Intense,"By (date), when given a topic or a text, (name) will complete a [[picture sequencing|picture sort]] and correctly match a topic to the appropriate supporting information in (2 out of 3) picture-sorting activities.",,,,,,,['CCSS.ELA-Literacy.W.K.2'],Writing,['Informative & Explanatory'],Explaining a Topic Using an Illustration,"Teachers can provide students an opportunity to [[songs, raps and chants|chant]] the story while hanging up pictures that represent each part of the story including the main topic and supporting details being discussed. Teachers can also provide students with [[ realia | physical objects ]] that represent key information from the text.",UDL I 1.3 Provide Multiple Means of Representation: Offer alternatives for visual information,"Instead of students writing sentences describing the topic, the teacher can allow the student to create a [[ picture story telling | story board ]] that depicts the title, topic and supporting information of the text.",UDL II 5.1 Provide Multiple Means of Action and Expression: Use multiple media for communication,"Teachers can guide students in a class discussion regarding the topic and information presented by the story. Teachers can give students the opportunity to [[cooperative learning|""pair share""]] and have one student from each group share their insights.",UDL III 7.3 Provide Multiple Means of Engagement: Minimize threats and distractions,,,,,,
,,"By (date), when given a topic prompt, (name) will write a (5) sentence paragraph that includes (1) topic sentence, states (3) relevant details and includes (1) conclusion sentence scoring (5 out of 6) on a teacher-made rubric in (2 out of 3) trials.",['2'],Mild,"By (date), when given a topic prompt, (name) will use a [[ paragraph template | paragraph template ]] to write a (5) sentence paragraph that includes (1) topic sentence, states (3) relevant details and includes (1) conclusion sentence scoring (5 out of 6) on a teacher-made rubric in (2 out of 3) trials.",Moderate,"By (date), when given a topic prompt, (name) will work with a [[cooperative learning|peer]] and use a [[ paragraph template | paragraph template ]] to write a (3) sentence paragraph that includes (1) topic sentence, states (1) relevant detail and includes (1) conclusion sentence scoring (5 out of 6) on a teacher-made rubric in (2 out of 3) trials.",Intense,"By (date), when given a topic prompt, (name) will [[adapted text|listen]] to an [[ read aloud | audio book ]] about the topic and will complete a [[ picture choices | picture sort ]] that matches a topic to appropriate supporting information in (2 out of 3) sorting activities as measured by a teacher-made rubric.",,,,,,,['CCSS.ELA-Literacy.W.2.2'],Writing,['Informative & Explanatory'],Explaining a Topic with Supporting Facts and Details,Teachers can provide direct instruction using a [[vocabulary preview|vocabulary preview]] to [[preteaching|preteach]] vocabulary specific to the topic. Teachers can construct charts that identify key vocabulary and provide familiar representations of their meaning.,UDL I 2.1 Provide Multiple Means of Representation: Clarify vocabulary and symbols,"Before producing the final draft of the informative writing piece, teachers can provide students with prompts and or a [[ writing checklist | checklist ]] to identify each component of the opinion piece (e.g. topic sentence, 2 supporting details, concluding statement) in order to complete the writing process.",UDL II 6.2 Provide Multiple Means of Action and Expression: Support planning and strategy development,"Teachers can guide students in a [[interactive writing|class discussion]] regarding the topic and information presented by the story. Teachers can give students the opportunity to [[cooperative learning|""pair share""]] and have one student from each sharing group share their insights with the class.",UDL III 7.3 Provide Multiple Means of Engagement: Minimize threats and distractions,,,,,,
,,"By (date), when given a topic prompt, (name) will write a (5) sentence paragraph that includes (1) topic sentence, states (3) relevant details and includes (1) conclusion sentence scoring (5 out of 6) on a teacher-made rubric in (2 out of 3) trials.",['2'],Mild,"By (date), when given a topic prompt, (name) will use a [[ paragraph template | paragraph template ]] to write a (5) sentence paragraph that includes (1) topic sentence, states (3) relevant details and includes (1) conclusion sentence scoring (5 out of 6) on a teacher-made rubric in (2 out of 3) trials.",Moderate,"By (date), when given a topic prompt, (name) will work with a [[cooperative learning|peer]] and use a [[ paragraph template | paragraph template ]] to write a (3) sentence paragraph that includes (1) topic sentence, states (1) relevant detail and includes (1) conclusion sentence scoring (5 out of 6) on a teacher-made rubric in (2 out of 3) trials.",Intense,"By (date), when given a topic prompt, (name) will [[adapted text|listen]] to an [[ read aloud | audio book ]] about the topic and will complete a [[ picture choices | picture sort ]] that matches a topic to appropriate supporting information in (2 out of 3) sorting activities as measured by a teacher-made rubric.",,,,,,,['CCSS.ELA-Literacy.W.2.2'],Writing,['Informative & Explanatory'],Explaining a Topic with Supporting Facts and Details,Teachers can provide direct instruction using a [[vocabulary preview|vocabulary preview]] to [[preteaching|preteach]] vocabulary specific to the topic. Teachers can construct charts that identify key vocabulary and provide familiar representations of their meaning.,UDL I 2.1 Provide Multiple Means of Representation: Clarify vocabulary and symbols,"Before producing the final draft of the informative writing piece, teachers can provide students with prompts and or a [[ writing checklist | checklist ]] to identify each component of the opinion piece (e.g. topic sentence, 2 supporting details, concluding statement) in order to complete the writing process.",UDL II 6.2 Provide Multiple Means of Action and Expression: Support planning and strategy development,"Teachers can guide students in a [[interactive writing|class discussion]] regarding the topic and information presented by the story. Teachers can give students the opportunity to [[cooperative learning|""pair share""]] and have one student from each sharing group share their insights with the class.",UDL III 7.3 Provide Multiple Means of Engagement: Minimize threats and distractions,,,,,,
